phase,item,owner,location,expected_result,hard_stop_if_failed,status,evidence,notes
preflight,GitHub Actions latest run,developer,GitHub Actions Pet-Med-AI CI Gate,green,yes,,,
preflight,Online smoke,operator,BASE_URL=https://pet-med-ai-backend.onrender.com bash scripts/smoke_petmed.sh,ALL PASS,yes,,,
preflight,System version,operator,/api/system/version,schema_ok true,yes,,,
preflight,Revision alignment,operator,/api/system/version,database_revision equals alembic_head,yes,,,
preflight,Preventive migration,operator,/api/system/version or Alembic current,0007_preventive_care,yes,,,
weekly_logs,Review last 4 weekly logs,clinical_ops_owner,weekly ops logs,all available,yes,,,
weekly_logs,Aggregate weekly metrics,clinical_ops_owner,weekly ops logs,monthly totals calculated,yes,,,
ops_dashboard,Open Ops Dashboard,clinical_ops_owner,/ops,Preventive Care Ops visible,yes,,,
ops_dashboard,Record monthly attention,clinical_ops_owner,/ops,value recorded,yes,,,
queue,Open queue page,front_desk_owner,/preventive-care/notification-queue,page loads,yes,,,
queue,Review draft backlog,front_desk_owner,queue page,backlog recorded,yes,,,
queue,Review contacted count,front_desk_owner,queue page,manual contacted recorded,yes,,,
queue,Review canceled count,front_desk_owner,queue page,canceled recorded,no,,,
queue,Review blocked opt-out,clinical_ops_owner,queue page,blocked opt-out reviewed,yes,,,
clinical_quality,Sample completed reminders,clinical_ops_owner,records sample,5 to 10 reviewed,yes,,,
clinical_quality,Sample queue items,clinical_ops_owner,records sample,5 to 10 reviewed,yes,,,
safety,Confirm auto_send false,clinical_ops_owner,/ops and queue page,auto_send=false,yes,,,
safety,Confirm no external send,clinical_ops_owner,/ops and queue page,sends_external_message=false,yes,,,
safety,Confirm manual review required,clinical_ops_owner,/ops and queue page,manual_review_required=true,yes,,,
safety,Check opt-out not bypassed,clinical_ops_owner,blocked opt-out sample,no bypass,yes,,,
security,Console/log secret check,security_owner,DevTools and Render logs,no SECRET TOKEN KEY PASSWORD values,yes,,,
decision,Monthly decision,clinical_ops_owner,monthly report,PASS PAUSE ESCALATE or IMPROVE,yes,,,
