control_id,control,expected,current,status,evidence_source,stop_if
PMAI-P0-04-ARCI-AUTH-001,repository_only,true,true,PASS,review_package,not true
PMAI-P0-04-ARCI-AUTH-002,entry_main,f521520f96ab28f1a6e696b60fc8f06e4a2eda69,f521520f96ab28f1a6e696b60fc8f06e4a2eda69,PASS,git_baseline,mismatch
PMAI-P0-04-ARCI-AUTH-003,entry_parent,65e51ab64845083f47a2e397abf0f0a739c51a72,65e51ab64845083f47a2e397abf0f0a739c51a72,PASS,git_baseline,mismatch
PMAI-P0-04-ARCI-AUTH-004,entry_ci_gate,194 PASS,194 PASS,PASS,github_evidence,mismatch
PMAI-P0-04-ARCI-AUTH-005,fresh_restore_governance_route_b_approved,true,true,PASS,prior_decision,false
PMAI-P0-04-ARCI-AUTH-006,archive_root_contract_investigation_preparation_complete,true,true,PASS,prior_preparation,false
PMAI-P0-04-ARCI-AUTH-007,ready_for_separate_archive_root_contract_investigation_authorization_review,true,true,PASS,prior_preparation,false
PMAI-P0-04-ARCI-AUTH-008,authorization_scope_recorded,true,true,PASS,review_package,false
PMAI-P0-04-ARCI-AUTH-009,current_archive_root_contract_investigation_authorized,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-010,post_effective_gate_archive_root_contract_investigation_authorized,true,true,PASS,conditional_record,false
PMAI-P0-04-ARCI-AUTH-011,archive_root_contract_investigation_execution_authorized,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-012,archive_listing_attempt_authorized,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-013,one_time_execution_confirmation_present,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-014,archive_file_opened,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-015,backup_archive_member_headers_read,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-016,backup_archive_member_payload_read,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-017,backup_archive_extracted,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-018,backup_archive_copied,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-019,backup_archive_uploaded,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-020,backup_archive_modified,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-021,backup_archive_repackaged,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-022,approved_backup_sha256,ea7b5a69231f50e54bd0a9da5b8eab4dde04d763853bef824564c4c66d2fa8a7,ea7b5a69231f50e54bd0a9da5b8eab4dde04d763853bef824564c4c66d2fa8a7,PASS,prior_evidence,mismatch
