field,value,required,source,notes
release_name,preventive-care-reminder-v1,yes,release record,
release_owner,HS-0001,yes,release record,
git_commit,,yes,git rev-parse HEAD,
github_actions_run_url,,yes,GitHub Actions,
ci_static_checks_result,,yes,bash scripts/ci_static_checks.sh,
online_smoke_result,,yes,online smoke,
database_revision,,yes,/api/system/version,
alembic_head,,yes,/api/system/version,
schema_ok,,yes,/api/system/version,must be true
preventive_care_migration,0007_preventive_care,yes,Alembic current,
spec_validator_result,,yes,terminal,
model_validator_result,,yes,terminal,
rule_dry_run_validator_result,,yes,terminal,
api_validator_result,,yes,terminal,
ui_validator_result,,yes,terminal,
notification_queue_validator_result,,yes,terminal,
notification_queue_ui_validator_result,,yes,terminal,
online_verification_validator_result,,yes,terminal,
online_case_detail_verified,,yes,browser,
online_notification_queue_verified,,yes,browser,
client_opt_out_verified,,yes,browser/API,
auto_send_false_verified,,yes,browser/API,
sends_external_message_false_verified,,yes,browser/API,
creates_case_false_verified,,yes,browser/API,
updates_case_false_verified,,yes,browser/API,
console_secret_leak_absent,,yes,DevTools/Render logs,
final_decision,NO-GO,yes,release owner,default NO-GO until evidence complete
decision_reason,Default no-go until evidence is complete,yes,release owner,
