gate_id,gate,required,current,status,decision,remediation
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-001,repository_baseline,e3dce86_exact,e3dce86_exact,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-002,github_ci_gate,210_PASS,210_PASS,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-003,isolated_refs,8d1dc881_exact,8d1dc881_exact,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-004,prior_review_published,true,true,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-005,target_contract_bound,true,true,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-006,target_contract_hash,e57fbfce_exact,e57fbfce_exact,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-007,locked_runner_integrity,c5000289_exact,c5000289_exact,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-008,root_contract_resolved,true,true,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-009,root_layout,PG_DIRECTORY_ROOT_DEEP_WRAPPED,PG_DIRECTORY_ROOT_DEEP_WRAPPED,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-010,wrapper_depth,2,2,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-011,current_repository_scope,repository_only,repository_only,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-012,current_network_access,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-013,current_external_execution,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-014,package_publication,separate_authority,not_authorized,HOLD,HOLD,REQUEST_SEPARATE_AUTHORIZATION
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-015,new_ci_gate,separate_future_gate,not_available,HOLD,HOLD,PUBLISH_THEN_VERIFY
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-016,one_time_user_confirmation,separate_exact_confirmation,absent,HOLD,HOLD,REQUEST_SEPARATE_CONFIRMATION
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-017,provider_control_plane_open,separate_execution_scope,false,HOLD,HOLD,WAIT_FOR_CONFIRMATION
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-018,current_name_availability_check,execution_time_required,not_performed,HOLD,HOLD,WAIT_FOR_CONFIRMATION
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-019,current_version_recheck,execution_time_required,not_performed,HOLD,HOLD,WAIT_FOR_CONFIRMATION
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-020,current_price_recheck,execution_time_required,not_performed,HOLD,HOLD,WAIT_FOR_CONFIRMATION
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-021,target_creation,separate_execution_scope,false,HOLD,HOLD,WAIT_FOR_CONFIRMATION
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-022,execution_attempt_limit,1,1,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-023,automatic_retry,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-024,manual_retry,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-025,existing_target_reuse,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-026,credential_collection,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-027,connection_value_access,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-028,application_attachment,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-029,archive_access,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-030,runner_activation,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-031,database_connection,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-032,restore_execution,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-033,migration_0010,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-034,deployment,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-035,resource_deletion,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-036,raw_service_identifier,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-037,raw_provider_json,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-038,raw_screenshot_repository_storage,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-039,sanitized_result_schema,defined,defined,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-040,expiry_rule,72_hours,72_hours,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-041,deletion_rule,24_hours_after_evidence,24_hours_after_evidence,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-042,restoreability_verified,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-043,restore_rehearsal_complete,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-044,p0_04_execution,false,false,PASS,HOLD,NONE
PMAI-P0-04-FDTP-EXT-AUTH-V3-GNG-045,sole_next_subject,FRESH_DISPOSABLE_TARGET_PROVISIONING_EXTERNAL_EXECUTION_V3,FRESH_DISPOSABLE_TARGET_PROVISIONING_EXTERNAL_EXECUTION_V3,PASS,HOLD,NONE
