stage_id,stage_name,track,purpose,allowed_outputs,blocked_outputs,entry_gate,exit_gate,next_stage
CCR-001,Clinical Core Roadmap Refresh V1,product_strategy,Return from Commercial V1 post-go to clinical core roadmap,roadmap docs and validator,no runtime code or migration,First Clinic Weekly Review closed,validator PASS and CI PASS,Diagnostic Data Model Gap Review V1
CCR-002,Diagnostic Data Model Gap Review V1,clinical_data,Review gaps for DiagnosticReport Observation ImagingStudy,gap review risk register model inventory,no migration yet,Clinical Core Roadmap Refresh complete,scope locked and design candidates listed,DiagnosticReport Observation ImagingStudy Design V1
CCR-003,DiagnosticReport Observation ImagingStudy Design V1,clinical_data,Design clinical diagnostic data models,design docs schemas validators migration plan,no production migration until review,Gap Review complete,design review signed off,Diagnostic Data Model Migration V1
CCR-004,Integration API and Local Device Gateway Roadmap V1,integration,Define safe dry-run architecture for lab imaging device integration,architecture docs dry-run samples threat model,no real device ingest,Diagnostic data model design ready,validator PASS and risk review complete,Lab Result Ingest Dry-run V1
CCR-005,Lab Result Ingest Dry-run V1,integration,Parse lab samples into read-only DiagnosticReport Observation preview,dry-run parser fixtures validators smoke,no real lab equipment ingest,Integration architecture complete,dry-run sample PASS,Case Detail Lab Display V1
CCR-006,Imaging DICOM Ingest Dry-run V1,integration,Parse imaging metadata into read-only ImagingStudy preview,dry-run parser fixtures validators smoke,no real PACS production ingest,Integration architecture complete,dry-run sample PASS,Case Detail Imaging Display V1
CCR-007,AI Lab Abnormal Summary V1,ai_clinical_reasoning,Summarize abnormal lab values for clinician review,AI summary draft review UI validator,no final diagnosis or customer-facing output,Lab dry-run and display available,clinician review boundary PASS,AI Diagnostic Assistance Boundary V1
CCR-008,AI Imaging Report Summary V1,ai_clinical_reasoning,Summarize imaging report text for clinician review,AI imaging summary draft validator,no DICOM diagnostic automation,Imaging dry-run and display available,clinician review boundary PASS,AI Diagnostic Assistance Boundary V1
CCR-009,Treatment Recommendation Boundary V1,treatment_safety,Define treatment suggestion limits and review workflow,boundary docs risk register validators,no automatic treatment plan to customer,AI abnormal summary boundary complete,boundary signed off,Drug Dose Safety Framework V1
CCR-010,Drug Dose Safety Framework V1,medication_safety,Define dose safety schema and validation approach,framework docs schema tests validators,no production prescription write,Treatment boundary complete,clinical review requirements locked,Drug Dose Knowledge Base V1
CCR-011,Drug Dose Knowledge Base V1,medication_safety,Create reviewed dose knowledge base structure,KB schema fixtures validators,no unreviewed dosing recommendations,Dose framework complete,clinical review evidence required,Knowledge Base Admin UI V1
