gate,expected,actual,decision
validator,PASS,TBD,NO_GO
ci_static_checks,PASS,TBD,NO_GO
frontend_build,PASS,TBD,NO_GO
online_smoke,ALL_PASS,TBD,NO_GO
clinical_core_endpoint_smoke,PASS,TBD,NO_GO
production_database_revision,0009_diag_data,TBD,NO_GO
production_alembic_head,0009_diag_data,TBD,NO_GO
production_schema_ok,true,TBD,NO_GO
dangerous_feature_flags_disabled,true,TBD,NO_GO
read_only,true,TBD,NO_GO
writes_database,false,TBD,NO_GO
no_final_diagnosis,true,TBD,NO_GO
no_treatment_plan,true,TBD,NO_GO
no_prescription,true,TBD,NO_GO
no_drug_dose,true,TBD,NO_GO
requires_human_review,true,TBD,NO_GO
clinician_signoff_required,true,TBD,NO_GO
next_decision,GO_TO_LAB_RESULT_PARSER_EXPANSION_V2,TBD,NO_GO
