gate_id,gate,required,current,status,on_failure
PMAI-P0-04-ARCI-V3-PREP-GNG-001,decision commit,98fe4d902d4b24bf13837aaf0ea7e5f7bdc9d1f3,98fe4d902d4b24bf13837aaf0ea7e5f7bdc9d1f3,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-002,decision CI gate,PASS,PASS,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-003,Route C retained,true,true,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-004,cumulative prior attempts,2,2,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-005,additional attempts remaining,0,0,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-006,root contract resolved,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-007,V3 inert source suffix,.py.txt,.py.txt,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-008,V3 execution enabled,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-009,V3 active investigator created,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-010,depth zero classification,PG_DIRECTORY_ROOT_UNWRAPPED,PG_DIRECTORY_ROOT_UNWRAPPED,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-011,depth one classification,PG_DIRECTORY_ROOT_WRAPPED,PG_DIRECTORY_ROOT_WRAPPED,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-012,deep wrapper classification,PG_DIRECTORY_ROOT_DEEP_WRAPPED,PG_DIRECTORY_ROOT_DEEP_WRAPPED,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-013,mixed top level classification,MIXED_TOP_LEVEL,MIXED_TOP_LEVEL,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-014,divergent subtree classification,SHARED_TOP_LEVEL_DIVERGENT_SUBTREE,SHARED_TOP_LEVEL_DIVERGENT_SUBTREE,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-015,numeric outputs bounded,true,true,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-016,raw names suppressed,true,true,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-017,archive access authorization,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-018,V3 execution authorization,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-019,automatic retry,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-020,authorization reuse,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-021,target creation,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-022,runner creation,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-023,database connection,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-024,restore execution,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-025,migration 0010 creation,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-026,deployment,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-027,resource deletion,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-028,git publication,false,false,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-029,next gate,SEPARATE_V3_AUTHORIZATION_REVIEW,SEPARATE_V3_AUTHORIZATION_REVIEW,PASS,HOLD
PMAI-P0-04-ARCI-V3-PREP-GNG-030,decision disposition,GO_TO_SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V3_AUTHORIZATION_REVIEW,GO_TO_SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V3_AUTHORIZATION_REVIEW,PASS,HOLD
