control_id,control,expected,current,status,evidence,on_failure
PMAI-P0-04-FDTP-PREP-V3-CHK-001,stage,PMAI-P0-04,PMAI-P0-04,PASS,trusted baseline,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-002,entry main,6a11b484f4506caccd2e27be1558bcf455a8538a,6a11b484f4506caccd2e27be1558bcf455a8538a,PASS,Gate 208,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-003,entry parent,a2f117eb55208bf5022d04482d005137a2f26874,a2f117eb55208bf5022d04482d005137a2f26874,PASS,commit ancestry,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-004,origin parity,6a11b484f4506caccd2e27be1558bcf455a8538a,6a11b484f4506caccd2e27be1558bcf455a8538a,PASS,publication output,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-005,CI Gate,208 PASS,208 PASS,PASS,operator screenshot,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-006,prior CI hash,87605430bdb1c71d8edf7cace65bc554f5e8e888e6e8eed807ccb33cc32dbe18,87605430bdb1c71d8edf7cace65bc554f5e8e888e6e8eed807ccb33cc32dbe18,PASS,repository snapshot,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-007,route,ROUTE_C_REBUILD_DEPTH_AWARE_METADATA_INVESTIGATION_CHAIN_V3,ROUTE_C_REBUILD_DEPTH_AWARE_METADATA_INVESTIGATION_CHAIN_V3,PASS,published chain,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-008,implementation identity authorized,true,true,PASS,Gate 208 effective,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-009,design candidate hash,98d6cd0a1f01c551d6f43bae484842ff75163f5a3ea1fb0c600ef85167c0c31b,98d6cd0a1f01c551d6f43bae484842ff75163f5a3ea1fb0c600ef85167c0c31b,PASS,byte hash,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-010,implementation candidate hash,91b9ba1da8cc290fd94a17b4c57c673be0a805ae25f1ddb0ace69922ff9e2081,91b9ba1da8cc290fd94a17b4c57c673be0a805ae25f1ddb0ace69922ff9e2081,PASS,byte hash,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-011,implementation storage,.py.txt,.py.txt,PASS,inert repository source,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-012,implementation promoted,false,false,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-013,active runner created,false,false,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-014,runner activated,false,false,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-015,runner executed,false,false,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-016,root contract resolved,true,true,PASS,sanitized V3 evidence,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-017,root layout,PG_DIRECTORY_ROOT_DEEP_WRAPPED,PG_DIRECTORY_ROOT_DEEP_WRAPPED,PASS,sanitized V3 evidence,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-018,wrapper depth,2,2,PASS,sanitized V3 evidence,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-019,archive attempts consumed,3,3,PASS,published evidence,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-020,archive attempts remaining,0,0,PASS,no reuse,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-021,archive opened,false,false,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-022,archive listed,false,false,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-023,member headers read,false,false,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-024,member payload read,false,false,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-PREP-V3-CHK-025,candidate scope,ONE_NEW_EMPTY_ISOLATED_DISPOSABLE_POSTGRES_SERVICE_ONLY,ONE_NEW_EMPTY_ISOLATED_DISPOSABLE_POSTGRES_SERVICE_ONLY,PASS,prepared contract,HOLD
