activation_final_go_no_go_id,species_group,review_domain,final_go_no_go_scope,readiness_report_status,activation_readiness_status,clinical_owner_activation_status,second_reviewer_activation_status,source_access_activation_status,copyright_access_activation_status,metadata_only_workspace_status,metadata_only_validation_status,forbidden_value_scanner_status,pilot_sample_limit_status,halt_rule_status,final_go_no_go_status,governance_decision,collection_activation_status,collection_execution_status,human_review_required,clinician_signoff_required,next_required_stage
activation-final-go-no-go:rabbit:analgesia_and_pain_control_source_review,rabbit,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:rabbit:antimicrobial_source_review,rabbit,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:rabbit:antiparasitic_source_review,rabbit,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:rabbit:fluid_and_supportive_care_source_review,rabbit,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:rabbit:sedation_anesthesia_risk_source_review,rabbit,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:rabbit:emergency_stabilization_source_review,rabbit,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:bird:analgesia_and_pain_control_source_review,bird,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:bird:antimicrobial_source_review,bird,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:bird:antiparasitic_source_review,bird,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:bird:fluid_and_supportive_care_source_review,bird,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:bird:sedation_anesthesia_risk_source_review,bird,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:bird:emergency_stabilization_source_review,bird,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:ferret:analgesia_and_pain_control_source_review,ferret,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:ferret:antimicrobial_source_review,ferret,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:ferret:antiparasitic_source_review,ferret,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:ferret:fluid_and_supportive_care_source_review,ferret,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:ferret:sedation_anesthesia_risk_source_review,ferret,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:ferret:emergency_stabilization_source_review,ferret,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:turtle:analgesia_and_pain_control_source_review,turtle,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:turtle:antimicrobial_source_review,turtle,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:turtle:antiparasitic_source_review,turtle,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:turtle:fluid_and_supportive_care_source_review,turtle,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
