gate,required,actual,decision,notes
validator,pass,pass,GO,validate_treatment_framework_signed_review_state_persistence_design.py passes
ci_static_checks,pass,pass,GO,static CI passes
online_smoke,ALL PASS,pending,GO_AFTER_DEPLOYMENT,run smoke_petmed.sh after deploy
production_database_revision,0009_diag_data,pending,GO_AFTER_DEPLOYMENT,must remain 0009_diag_data
production_alembic_head,0009_diag_data,pending,GO_AFTER_DEPLOYMENT,must remain 0009_diag_data
production_schema_ok,true,pending,GO_AFTER_DEPLOYMENT,must remain true
dangerous_feature_flags_disabled,true,pending,GO_AFTER_DEPLOYMENT,all dangerous flags false
case_treatment_persistence,NO_GO_TO_CASE_TREATMENT_PERSISTENCE,NO_GO_TO_CASE_TREATMENT_PERSISTENCE,NO-GO,do not write Case.treatment
signed_review_state_database_write,NO_GO_TO_SIGNED_REVIEW_STATE_DATABASE_WRITE,NO_GO_TO_SIGNED_REVIEW_STATE_DATABASE_WRITE,NO-GO,no signed review state DB write in this design stage
prescription_write,NO_GO_TO_PRESCRIPTION_WRITE,NO_GO_TO_PRESCRIPTION_WRITE,NO-GO,no prescription write
dose_route_frequency,NO_GO_TO_DRUG_DOSE_ROUTE_FREQUENCY_OUTPUT,NO_GO_TO_DRUG_DOSE_ROUTE_FREQUENCY_OUTPUT,NO-GO,no dose route frequency output
no_prescription_write,true,true,NO-GO,no prescription write remains true
no_dose_route_frequency,true,true,NO-GO,no dose route frequency remains true
client_facing_treatment_output,NO_GO_TO_CLIENT_FACING_TREATMENT_OUTPUT,NO_GO_TO_CLIENT_FACING_TREATMENT_OUTPUT,NO-GO,no client-facing treatment output
migration,NO_GO_TO_MIGRATION_IN_THIS_STAGE,NO_GO_TO_MIGRATION_IN_THIS_STAGE,NO-GO,no migration in design stage
next_stage,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_DRY_RUN_V1,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_DRY_RUN_V1,GO,only dry-run next
