phase,item,owner,command_or_action,expected_result,required,evidence,status,notes
preflight,Confirm GitHub Actions green,developer,Open Actions > Pet-Med-AI CI Gate,latest run green,yes,GitHub Actions,,
preflight,Confirm backend health,operator,curl -sS https://pet-med-ai-backend.onrender.com/healthz,{"ok":true},yes,terminal,,
preflight,Confirm system version,operator,curl -sS https://pet-med-ai-backend.onrender.com/api/system/version | python3 -m json.tool,schema_ok true,yes,terminal,,
preflight,Confirm feature flags,operator,curl -sS https://pet-med-ai-backend.onrender.com/api/system/feature-flags | python3 -m json.tool,dangerous flags off,yes,terminal,,
preflight,Confirm online smoke,operator,BASE_URL=https://pet-med-ai-backend.onrender.com bash scripts/smoke_petmed.sh,ALL PASS,yes,terminal,,
backup,Confirm Render DB backup exists,rollback_owner,Check pet-med-ai-db in Render dashboard,backup visible,yes,Render screenshot/log,,
backup,Record rollback_snapshot_id,rollback_owner,Write snapshot id into release/pilot record,non-empty rollback_snapshot_id,yes,release record,,
backup,Confirm restore path known,rollback_owner,Review Render restore options,restore path documented,yes,runbook,,
pilot,Confirm clinical signoff,clinical_owner,Check clinical_signoff_id,non-empty signoff id,conditional,batch detail,,
pilot,Confirm execution dry-run,operator,POST execution-dry-run,quality_gate passed,conditional,API response,,
pilot,Confirm pilot limit,operator,Check batch receipt_count,within approved limit,conditional,batch detail,,
post,Run post-action smoke,operator,BASE_URL=https://pet-med-ai-backend.onrender.com bash scripts/smoke_petmed.sh,ALL PASS,conditional,terminal,,
post,Clinical spot-check,clinical_owner,Review created cases,100 percent pass for pilot,conditional,spot-check CSV,,
closeout,Record Go/Pause/Rollback decision,release_owner,Update release record,decision recorded,yes,docs/ops/releases,,
