gate,required_state,observed_state,decision,evidence
validator,python validator passes,TO_BE_RUN_LOCAL,GO_IF_PASS,"python3 scripts/validate_confirmed_diagnosis_treatment_framework_boundary.py"
ci_static_checks,static checks pass,TO_BE_RUN_LOCAL,GO_IF_PASS,"bash scripts/ci_static_checks.sh"
online_smoke,online smoke passes,TO_BE_RUN_DEPLOYED,GO_IF_PASS,"KEEP_TMP=1 BASE_URL=https://pet-med-ai-backend.onrender.com FRONTEND_URL=https://pet-med-ai-frontend-static.onrender.com bash scripts/smoke_petmed.sh"
clinician_confirmed_diagnosis,requires_clinician_confirmed_diagnosis=true,DOCUMENTED,GO,"Future input contract requires clinician-confirmed diagnosis and ai_generated=false"
ai_does_not_confirm_diagnosis,ai_does_not_confirm_diagnosis=true,DOCUMENTED,GO,"Boundary says AI must not confirm infer finalize or upgrade diagnosis"
read_only,read_only=true,DOCUMENTED,GO,"Boundary V1 has no endpoint migration DB write or frontend feature"
blocks_prescription,blocks_prescription=true,DOCUMENTED,GO,"Prescription generation structured draft and prescription write are forbidden"
blocks_dose,blocks_dose=true,DOCUMENTED,GO,"Future generated output must block dose content"
blocks_route_frequency,blocks_route_frequency=true,DOCUMENTED,GO,"Future generated output must block route and frequency content"
not_client_facing,not_client_facing=true,DOCUMENTED,GO,"Preview is clinician-facing only and requires human review"
case_treatment,no Case.treatment write,DOCUMENTED,GO,"Boundary explicitly blocks Case.treatment persistence"
production_revision,database_revision=0009_diag_data,TO_BE_VERIFIED_ONLINE,GO_IF_PASS,"/api/system/version must report database_revision=0009_diag_data"
production_alembic,alembic_head=0009_diag_data,TO_BE_VERIFIED_ONLINE,GO_IF_PASS,"/api/system/version must report alembic_head=0009_diag_data"
production_schema,schema_ok=true,TO_BE_VERIFIED_ONLINE,GO_IF_PASS,"/api/system/version must report schema_ok=true and migration_errors=[]"
dangerous_feature_flags,dangerous feature flags disabled,TO_BE_VERIFIED_ONLINE,GO_IF_PASS,"/api/system/feature-flags must report all dangerous flags false"
final_decision,GO_TO_CONFIRMED_DIAGNOSIS_TREATMENT_FRAMEWORK_DRAFT_V1,GO_AFTER_LOCAL_AND_ONLINE_PASS,GO_IF_ALL_PASS,"Proceed only after validator PASS, ci_static_checks PASS, online_smoke ALL PASS"
