item_id,area,requirement,expected_evidence,status,blocking,notes
DRYRUN-001,stage_scope,Staging rehearsal dry-run only; no real staging migration is executed in this phase.,STAGING_REHEARSAL_DRY_RUN_ONLY=true and REAL_STAGING_MIGRATION_EXECUTED=false markers present.,PASS_STATIC,yes,Evidence contract only.
DRYRUN-002,inactive_draft_reference,Future rehearsal must name the inactive 0010 draft reference before any write-capable rehearsal.,inactive_0010_draft_reference_required=true marker present.,REQUIREMENT_DEFINED,yes,No active migration file is created by this phase.
DRYRUN-003,staging_environment,"Future rehearsal must use an isolated staging environment, not production.",staging_environment_must_be_isolated_from_production=true marker present.,REQUIREMENT_DEFINED,yes,No staging command is run by this phase.
DRYRUN-004,backup_restore,Backup and restore evidence must be available before a future rehearsal apply.,backup_restore_evidence_required=true marker present.,REQUIREMENT_DEFINED,yes,No backup artifact is generated by this phase.
DRYRUN-005,rollback,Rollback dry-run evidence must be captured before a future rehearsal apply.,rollback_dry_run_required=true marker present.,REQUIREMENT_DEFINED,yes,Rollback remains a future evidence requirement.
DRYRUN-006,authenticated_smoke,Authenticated smoke must be completed before any future write-capable operation.,authenticated_smoke_required_before_future_write=true marker present.,REQUIREMENT_DEFINED,yes,Static gate only in this phase.
DRYRUN-007,production_hard_gate,Production hard gate remains at 0009 with schema_ok=true and no migration errors.,"database_revision=0009_diag_data, alembic_head=0009_diag_data, schema_ok=true, migration_errors=[] markers present.",PASS_STATIC,yes,No production migration is executed.
DRYRUN-008,active_migration_absence,No active backend/migrations/versions/0010*.py file exists in this phase.,ACTIVE_0010_MIGRATION_FILE_CREATED=false marker and validator filesystem check.,PASS_STATIC,yes,Validator fails if an active 0010 file is present.
DRYRUN-009,write_safety,"No database write, Case.treatment write, or prescription write is performed.","DATABASE_WRITE_PERFORMED=false, CASE_TREATMENT_WRITE_PERFORMED=false, PRESCRIPTION_WRITE_PERFORMED=false markers present.",PASS_STATIC,yes,Documentation and static validation only.
DRYRUN-010,dangerous_feature_flags,All dangerous feature flags remain disabled.,Each listed ENABLE_* marker is false.,PASS_STATIC,yes,Validator checks this document for exact false markers.
DRYRUN-011,client_boundary,No owner-facing diagnosis release and no owner-facing medication-detail output.,CLIENT_FACING_RELEASE_PERFORMED=false and CLIENT_FACING_MEDICATION_DETAIL_OUTPUT=false markers present.,PASS_STATIC,yes,Clinician review boundary remains intact.
DRYRUN-012,next_decision,"Advance only to a staging rehearsal evidence package, not to a real apply.",GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_STAGING_REHEARSAL_EVIDENCE_V1,PASS_STATIC,yes,Conservative next phase.
