feature_id,area,feature_name,commercial_v1_status,visible_to,frontend_surface,backend_surface,data_writes,external_effect,launch_decision,notes
FS-AI-001,ai_consultation,AI consultation,public_clinic,clinic_user,home consultation panel,/ai/consult and /api/ai/consult,no external writes unless saved,false,GO,Core clinical workflow
FS-AI-002,ai_consultation,Dynamic consultation,public_clinic,clinic_user,home dynamic consultation panel,/ai/consult/dynamic and /api/ai/consult/dynamic,consult session writes,false,GO,Core clinical workflow
FS-AI-003,ai_consultation,Consultation session persistence,public_clinic,clinic_user,history and restore session UI,/api/ai/consult/session*,session writes,false,GO,Owner-scoped
FS-AI-004,ai_consultation,Save consultation as case,public_clinic,clinic_user,save-case preview and confirm,/api/ai/consult/session/*/save-case,case writes,false,GO,Requires AI human review audit
FS-AI-005,ai_consultation,Update bound case after follow-up,public_clinic,clinic_user,update bound case action,/api/ai/consult/session/*/update-case,case update,false,GO,Owner-scoped and review-gated
FS-CASE-001,cases,Case create/list/detail/edit,public_clinic,clinic_user,home list case detail case editor,/api/cases*,case writes,false,GO,Commercial V1 core
FS-CASE-002,cases,Case filtering and pagination,public_clinic,clinic_user,home case table,/api/cases query,false,false,GO,Commercial V1 core
FS-CASE-003,cases,Case CSV export,public_clinic,clinic_user,home export action,/api/cases/export,false,false,GO,Must remain owner-scoped
FS-CASE-004,cases,Case print,public_clinic,clinic_user,case detail print route,/api/cases/{id},false,false,GO,Commercial V1 utility
FS-DOC-001,clinical_docs,Clinical Docs Word export,public_clinic,clinic_user,case detail export button,/api/clinical-docs*,file generated,false,GO,Word export is available
FS-DOC-002,clinical_docs,Clinical Docs PDF conversion,future_not_in_v1,not_visible,none,none,false,false,NO-GO for V1 promise,Design exists but implementation not launch scope
FS-INTAKE-001,structured_intake,Dog/cat structured intake templates,public_clinic,clinic_user,structured intake block,AI consult payload,session/case context,false,GO,Core clinical data quality feature
FS-INTAKE-002,structured_intake,Exotic structured intake templates,public_clinic,clinic_user,structured intake block,AI consult payload,session/case context,false,GO,Core clinical data quality feature
