entity,status,meaning,allowed_next,clinical_gate,notes
DiagnosticReport,draft,created but incomplete,received|voided,no,
DiagnosticReport,received,data received but not reviewed,review_pending|voided,no,
DiagnosticReport,review_pending,awaiting clinician review,reviewed|voided,yes,
DiagnosticReport,reviewed,clinician reviewed,final|amended,yes,
DiagnosticReport,final,final clinical report,amended,yes,
DiagnosticReport,amended,corrected after final,final,yes,
DiagnosticReport,voided,invalid or removed from active use,,yes,
Observation,draft,created but incomplete,review_pending|voided,no,
Observation,review_pending,awaiting clinician review,reviewed|voided,yes,
Observation,reviewed,clinician reviewed,final|amended,yes,
Observation,final,final item state,amended,yes,
Observation,voided,invalid item,,yes,
ImagingStudy,draft,created but incomplete,review_pending|voided,no,
ImagingStudy,review_pending,awaiting clinician review,reviewed|voided,yes,
ImagingStudy,reviewed,clinician reviewed,final|amended,yes,
ImagingStudy,final,final imaging record,amended,yes,
ImagingStudy,amended,corrected after final,final,yes,
ImagingStudy,voided,invalid imaging record,,yes,
