gate_id,gate,required_state,current_state,evidence_status,decision,notes
P04-G001,P0-03 entry gate,COMPLETE with verified evidence,PASS,VERIFIED_REFERENCE,GO_FOR_PMAI_P0_04_GOVERNANCE_PREPARATION_ONLY,Does not authorize migration execution
P04-G002,Governance package gate,IN_PROGRESS package with locked runner,PASS,PACKAGE_INITIALIZED,GO_FOR_PMAI_P0_04_GOVERNANCE_PREPARATION_ONLY,Repository-only initialization
P04-G003,Migration schema approval,Corrected contract recorded; inactive draft remains unapproved,PASS_GOVERNANCE_ONLY,SCHEMA_CONTRACT_RECORDED,GO_TO_PMAI_P0_04_DEPLOYMENT_ISOLATION_AND_REHEARSAL_PREPARATION_ONLY,Not an active migration or execution authorization
P04-G004,Deployment isolation,Staging-only pin or production freeze,PASS,VERIFIED_EXTERNAL_EVIDENCE,GO_TO_FRESH_BACKUP_AND_DISPOSABLE_RESTORE_REHEARSAL_PREPARATION_ONLY,Staging candidate branch pinned; production does not track candidate branch; no production freeze claimed
P04-G005,Fresh backup,Post-P0-03 staging backup verified,PASS,VERIFIED_EXTERNAL_EVIDENCE,GO_TO_DISPOSABLE_RESTORE_REHEARSAL_PREPARATION_ONLY,Integrity and list-only TOC verified; restoreability remains unverified
P04-G006,Disposable restore rehearsal,Apply downgrade and return to 0009,BLOCKED,PENDING_EXTERNAL_EVIDENCE,NO_GO_TO_PMAI_P0_04_EXECUTION,Must precede source staging apply
P04-G007,Source staging apply,Fresh backup exact revision and pinned artifact,NOT_AUTHORIZED,UNRECORDED,NO_GO_TO_PMAI_P0_04_EXECUTION,Forbid upgrade head stamp and manual edits
P04-G008,Post-apply evidence,Schema parity zero new rows production unchanged,NOT_RUN,UNRECORDED,NO_GO_TO_PMAI_P0_04_EXECUTION,Sanitized external evidence required
P04-G009,Clinical safety,No treatment prescription or client medication output,LOCKED_FALSE,GOVERNANCE_MARKERS,NO_GO_TO_PMAI_P0_04_EXECUTION,No clinical write scope
P04-G010,PMAI-P0-04 execution,All blocking gates PASS plus separate authorization,HOLD,INCOMPLETE,HOLD_PMAI_P0_04_PENDING_DISPOSABLE_TARGET_PROVISIONING_RESTORE_REHEARSAL_AND_EXTERNAL_EVIDENCE,Fresh backup integrity verified; disposable rehearsal and later execution evidence remain
P04-G011,Manual deploy deviation,Safe governance baseline only; both services live and read-only verified at 0009,PASS,VERIFIED_EXTERNAL_EVIDENCE,DEVIATION_RECORDED_AND_SAFELY_VERIFIED_NOT_EXECUTION_AUTHORIZATION,No candidate migration deployed; does not authorize active 0010
P04-G012,Backup evidence boundary,Independent artifact integrity without restore claim,PASS,VERIFIED_EXTERNAL_EVIDENCE,BACKUP_INTEGRITY_VERIFIED_NOT_RESTOREABILITY_OR_EXECUTION_AUTHORIZATION,Disposable restore rehearsal remains mandatory and separately governed
P04-G013,Disposable restore governance preparation,Repository-only plan with all execution flags false,PASS_GOVERNANCE_ONLY,GOVERNANCE_PREPARED,NO_GO_TO_PMAI_P0_04_EXECUTION,Target provisioning and restore remain separately unauthorized
P04-G014,Third manual deploy observation,Record without rewriting promoted isolation evidence,OPERATOR_OBSERVATION_UNPROMOTED,POSTDEPLOY_READONLY_PASS,NO_GO_TO_PMAI_P0_04_EXECUTION,production_auto_deploy_verified remains false
