check_id,category,item,owner,expected_result,hard_stop_if_failed,evidence,status,notes
P0-001,response,http status,operator,201 yes,yes,raw response,,
P0-002,response,message,operator,emr_real_import_execute_create_only_pilot,yes,raw response,,
P0-003,response,receipt_count,operator,1,yes,raw response,,
P0-004,response,created_count,operator,1,yes,raw response,,
P0-005,response,updated_count,operator,0,yes,raw response,,
P0-006,response,downloads_attachments,operator,false,yes,raw response,,
P0-007,response,updates_case,operator,false,yes,raw response,,
P0-008,response,create_only,operator,true,yes,raw response,,
P0-009,feature_flags,real import disabled after window,operator,ENABLE_EMR_REAL_IMPORT=false,yes,feature flags output,,
P0-010,smoke,online smoke after execution,operator,ALL PASS,yes,terminal,,
P0-011,clinical,created Case spot-check,clinical_owner,pass,yes,Case detail,,
P0-012,clinical,no duplicate Case,clinical_owner,pass,yes,search result,,
P0-013,rollback,rollback decision recorded,rollback_owner,GO PAUSE or ROLLBACK,yes,closeout template,,
