gate,expected,actual,decision
validator,PASS,TBD,TBD
ci_static_checks,PASS,TBD,TBD
frontend_build,PASS,TBD,TBD
online_smoke,ALL_PASS,TBD,TBD
case_detail_ui_accessible,PASS,TBD,TBD
problem_list_endpoint_chain,PASS,TBD,TBD
differential_candidates_endpoint_chain,PASS,TBD,TBD
evidence_trace_endpoint_chain,PASS,TBD,TBD
production_database_revision,0009_diag_data,TBD,TBD
production_alembic_head,0009_diag_data,TBD,TBD
production_schema_ok,true,TBD,TBD
dangerous_feature_flags_disabled,true,TBD,TBD
no_db_write,true,TBD,TBD
no_audit_log_write,true,TBD,TBD
no_final_diagnosis,true,TBD,TBD
no_treatment_plan,true,TBD,TBD
no_prescription,true,TBD,TBD
no_drug_dose,true,TBD,TBD
requires_human_review,true,TBD,TBD
clinician_signoff_required,true,TBD,TBD
final_decision,GO_TO_CLINICIAN_REVIEW_PERSISTENCE_V1,TBD,TBD
