state,description,may_send_external_message,next_states,hard_block_reason
draft,queue item created,false,manual_review_required|canceled,
manual_review_required,human review needed,false,approved_for_send|canceled,
approved_for_send,human approved specific attempt,false,dry_run_only|queued|canceled,
dry_run_only,eligibility and message preview only,false,approved_for_send|canceled,
queued,eligible and waiting for provider send,conditional,sent|failed|canceled,
sent,provider send call accepted,true,delivered|failed,
delivered,provider confirms delivery,true,,
failed,provider or system failure,false,queued|canceled,
canceled,operator canceled,false,,
blocked_opt_out,client opted out,false,,
blocked_quiet_hours,outside allowed send window,false,queued|canceled,
blocked_rate_limit,rate limit exceeded,false,queued|canceled,
blocked_missing_consent,no consent or channel permission,false,,
blocked_missing_channel,no usable destination,false,,
blocked_unapproved_template,template not approved,false,,
blocked_kill_switch,global or channel kill switch active,false,,
