control_id,control,expected,current,status,evidence,on_failure
PMAI-P0-04-FDTP-AUTH-V3-CHK-001,stage,PMAI-P0-04,PMAI-P0-04,PASS,trusted baseline,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-002,entry main,4d787ebd51f610d8f92e679ab5caa22191924ac4,4d787ebd51f610d8f92e679ab5caa22191924ac4,PASS,Gate 209,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-003,entry parent,6a11b484f4506caccd2e27be1558bcf455a8538a,6a11b484f4506caccd2e27be1558bcf455a8538a,PASS,commit ancestry,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-004,origin parity,4d787ebd51f610d8f92e679ab5caa22191924ac4,4d787ebd51f610d8f92e679ab5caa22191924ac4,PASS,publication output,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-005,CI Gate,209 PASS,209 PASS,PASS,operator screenshot,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-006,prior CI hash,8c23f683f89965f4b90bd2925a575d2ac5ee5340ece340cc12b02ec923dcce55,8c23f683f89965f4b90bd2925a575d2ac5ee5340ece340cc12b02ec923dcce55,PASS,repository snapshot,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-007,route,ROUTE_C_REBUILD_DEPTH_AWARE_METADATA_INVESTIGATION_CHAIN_V3,ROUTE_C_REBUILD_DEPTH_AWARE_METADATA_INVESTIGATION_CHAIN_V3,PASS,published chain,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-008,preparation complete,true,true,PASS,Gate 209,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-009,implementation identity authorized,true,true,PASS,published review,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-010,design candidate hash,98d6cd0a1f01c551d6f43bae484842ff75163f5a3ea1fb0c600ef85167c0c31b,98d6cd0a1f01c551d6f43bae484842ff75163f5a3ea1fb0c600ef85167c0c31b,PASS,byte hash,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-011,implementation candidate hash,91b9ba1da8cc290fd94a17b4c57c673be0a805ae25f1ddb0ace69922ff9e2081,91b9ba1da8cc290fd94a17b4c57c673be0a805ae25f1ddb0ace69922ff9e2081,PASS,byte hash,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-012,implementation promoted,false,false,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-013,root contract resolved,true,true,PASS,sanitized V3 evidence,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-014,root layout,PG_DIRECTORY_ROOT_DEEP_WRAPPED,PG_DIRECTORY_ROOT_DEEP_WRAPPED,PASS,sanitized V3 evidence,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-015,wrapper depth,2,2,PASS,sanitized V3 evidence,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-016,archive attempts consumed,3,3,PASS,published evidence,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-017,archive attempts remaining,0,0,PASS,no reuse,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-018,target contract bound,true,true,PASS,review record,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-019,target contract hash,e57fbfce3e490cdf185f83e9e376b20fe0ef665fbe293a512a6298d8a6420744,e57fbfce3e490cdf185f83e9e376b20fe0ef665fbe293a512a6298d8a6420744,PASS,canonical contract,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-020,target logical name,pet-med-ai-db-p0-04-fresh-disposable-restore-v3-ohio,pet-med-ai-db-p0-04-fresh-disposable-restore-v3-ohio,PASS,review record,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-021,target provider,Render,Render,PASS,review record,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-022,target region,Ohio (US East),Ohio (US East),PASS,review record,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-023,target engine,PostgreSQL,PostgreSQL,PASS,review record,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-024,target major version,18,18,PASS,compatibility contract,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-025,target instance,Basic-256mb,Basic-256mb,PASS,review record,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-026,target storage GB,1,1,PASS,review record,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-027,storage autoscaling,false,false,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-028,read replicas,0,0,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-029,high availability,false,false,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-030,connection pooling,false,false,PASS,scope boundary,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-031,application attachments,0,0,PASS,isolation contract,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-032,network scope,UNATTACHED_NO_APPLICATION_TRAFFIC,UNATTACHED_NO_APPLICATION_TRAFFIC,PASS,isolation contract,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-033,cost ceiling USD,1.00,1.00,PASS,lifecycle contract,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-034,max lifetime hours,72,72,PASS,lifecycle contract,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-035,delete after evidence hours,24,24,PASS,lifecycle contract,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-036,deletion owner,PROJECT_OWNER_OPERATOR,PROJECT_OWNER_OPERATOR,PASS,lifecycle contract,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-037,service identifier before creation,UNBOUND_UNTIL_CREATED,UNBOUND_UNTIL_CREATED,PASS,no invented identity,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-038,actual target identity before creation,UNBOUND_UNTIL_CREATED,UNBOUND_UNTIL_CREATED,PASS,no invented identity,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-039,target new,true,true,PASS,freshness contract,HOLD
PMAI-P0-04-FDTP-AUTH-V3-CHK-040,target empty,true,true,PASS,isolation contract,HOLD
