gate,go_criteria,no_go_criteria,status
validator,validate_observation_abnormal_flag_review.py PASS,validator FAIL,PENDING
ci_static_checks,bash scripts/ci_static_checks.sh PASS,CI static checks FAIL,PENDING
online_smoke,smoke ALL PASS,online smoke FAIL,PENDING
production_schema,database_revision=0009_diag_data and schema_ok=true,schema drift or migration errors,PENDING
dangerous_flags,all dangerous feature flags false,any dangerous feature flag enabled,PENDING
dry_run_endpoint,dry-run endpoint returns writes_database=false,dry-run writes database,PENDING
controlled_write,only Observation.abnormal_flag and Observation.review_status change,any other table/field changes,PENDING
audit_log_requirement,non-dry-run requires existing audit_log_id,write allowed without audit log,PENDING
confirmation_requirement,non-dry-run requires explicit confirmation,write allowed without confirmation,PENDING
no_case_write,Case unchanged,Case write observed,PENDING
no_diagnostic_report_write,DiagnosticReport unchanged,DiagnosticReport write observed,PENDING
no_imaging_study_write,ImagingStudy unchanged,ImagingStudy write observed,PENDING
no_ai_summary_write,ai_summary unchanged,ai_summary write observed,PENDING
no_audit_log_write,no AuditLog row appended in this stage,AuditLog write observed,PENDING
no_reasoning_trace,no persisted reasoning trace,reasoning trace persisted,PENDING
no_final_diagnosis,no final diagnosis output,final diagnosis output,PENDING
no_treatment_plan,no treatment plan output,treatment plan output,PENDING
no_prescription,no prescription output,prescription output,PENDING
no_drug_dose,no drug dose route frequency output,dose route frequency output,PENDING
decision,GO_TO_IMAGINGSTUDY_REVIEW_WORKFLOW_V1,NO_GO,PENDING
