day,date,check_id,area,item,required_state,actual_state,evidence,owner,go_no_go,status,notes
D1,2026-06-18,D1-001,health,Production healthz,OK,OK,/healthz,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-002,version,database_revision,0008_auto_delivery,0008_auto_delivery,/api/system/version,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-003,version,alembic_head,0008_auto_delivery,0008_auto_delivery,/api/system/version,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-004,version,schema_ok,true,true,/api/system/version,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-005,flags,all dangerous flags disabled,true,true,/api/system/feature-flags,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-006,smoke,online smoke,PASS,PASS,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-007,workflow,supervised AI consultation,OK,OK,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-008,workflow,supervised dynamic consultation,OK,OK,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-009,workflow,supervised case save,OK,OK,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-010,workflow,case detail open,OK,OK,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-011,workflow,case edit check,OK,OK,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-012,workflow,Word export check,OK,OK,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-013,workflow,preventive reminder review,OK,OK,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-014,workflow,manual queue check,OK,OK,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-015,workflow,opt-out handling check,OK,OK,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-016,incident,open P0 count,0,0,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-017,incident,open P1 count,0,0,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D1,2026-06-18,D1-018,decision,daily decision,GO_CONTINUE_NEXT_DAY or GO_COMPLETE_D7,GO_CONTINUE_NEXT_DAY,D1 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D1 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-001,health,Production healthz,OK,OK,/healthz,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-002,version,database_revision,0008_auto_delivery,0008_auto_delivery,/api/system/version,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-003,version,alembic_head,0008_auto_delivery,0008_auto_delivery,/api/system/version,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-004,version,schema_ok,true,true,/api/system/version,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-005,flags,all dangerous flags disabled,true,true,/api/system/feature-flags,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-006,smoke,online smoke,PASS,PASS,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-007,workflow,supervised AI consultation,OK,OK,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-008,workflow,supervised dynamic consultation,OK,OK,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-009,workflow,supervised case save,OK,OK,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-010,workflow,case detail open,OK,OK,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-011,workflow,case edit check,OK,OK,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-012,workflow,Word export check,OK,OK,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-013,workflow,preventive reminder review,OK,OK,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-014,workflow,manual queue check,OK,OK,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-015,workflow,opt-out handling check,OK,OK,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-016,incident,open P0 count,0,0,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-017,incident,open P1 count,0,0,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D2,2026-06-18,D2-018,decision,daily decision,GO_CONTINUE_NEXT_DAY or GO_COMPLETE_D7,GO_CONTINUE_NEXT_DAY,D2 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D2 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-001,daily_operations,D3 daily pilot operating evidence,PASS,PASS,D3 healthz/version/feature-flags/smoke/supervised workflow,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-002,version,database_revision,0008_auto_delivery,0008_auto_delivery,/api/system/version,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-003,version,alembic_head,0008_auto_delivery,0008_auto_delivery,/api/system/version,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-004,version,schema_ok,true,true,/api/system/version,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-005,flags,all dangerous flags disabled,true,true,/api/system/feature-flags,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-006,smoke,online smoke,PASS,PASS,scripts/smoke_petmed.sh,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-007,workflow,supervised AI consultation,OK,OK,D3 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-008,workflow,supervised dynamic consultation,OK,OK,D3 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-009,workflow,supervised case save,OK,OK,D3 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-010,workflow,case detail open,OK,OK,D3 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-011,workflow,case edit check,OK,OK,D3 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-012,workflow,Word export check,OK,OK,D3 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-013,workflow,preventive reminder review,OK,OK,D3 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-014,workflow,manual queue check,OK,OK,D3 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-015,workflow,opt-out handling check,OK,OK,D3 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-016,incident,open P0 count,0,0,D3 daily incident log,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-017,incident,open P1 count,0,0,D3 daily incident log,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D3,2026-06-18,D3-018,decision,daily decision,GO_CONTINUE_NEXT_DAY or GO_COMPLETE_D7,GO_CONTINUE_NEXT_DAY,D3 daily signoff,release_owner,GO_REQUIRED,PASS,D3 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-001,health,Production healthz,OK,OK,/healthz,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-002,version,database_revision,0008_auto_delivery,0008_auto_delivery,/api/system/version,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-003,version,alembic_head,0008_auto_delivery,0008_auto_delivery,/api/system/version,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-004,version,schema_ok,true,true,/api/system/version,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-005,flags,all dangerous flags disabled,true,true,/api/system/feature-flags,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-006,smoke,online smoke,PASS,PASS,scripts/smoke_petmed.sh,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-007,workflow,supervised AI consultation,OK,OK,D4 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-008,workflow,supervised dynamic consultation,OK,OK,D4 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-009,workflow,supervised case save,OK,OK,D4 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-010,workflow,case detail open,OK,OK,D4 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-011,workflow,case edit check,OK,OK,D4 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-012,workflow,Word export check,OK,OK,D4 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-013,workflow,preventive reminder review,OK,OK,D4 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-014,workflow,manual queue check,OK,OK,D4 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-015,workflow,opt-out handling check,OK,OK,D4 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-016,incident,open P0 count,0,0,D4 daily incident log,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-017,incident,open P1 count,0,0,D4 daily incident log,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D4,2026-06-19,D4-018,decision,daily decision,GO_CONTINUE_NEXT_DAY or GO_COMPLETE_D7,GO_CONTINUE_NEXT_DAY,D4 daily signoff,release_owner,GO_REQUIRED,PASS,D4 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-001,health,Production healthz,OK,OK,/healthz,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-002,version,database_revision,0008_auto_delivery,0008_auto_delivery,/api/system/version,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-003,version,alembic_head,0008_auto_delivery,0008_auto_delivery,/api/system/version,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-004,version,schema_ok,true,true,/api/system/version,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-005,flags,all dangerous flags disabled,true,true,/api/system/feature-flags,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-006,smoke,online smoke,PASS,PASS,scripts/smoke_petmed.sh,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-007,workflow,supervised AI consultation,OK,OK,D5 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-008,workflow,supervised dynamic consultation,OK,OK,D5 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-009,workflow,supervised case save,OK,OK,D5 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-010,workflow,case detail open,OK,OK,D5 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-011,workflow,case edit check,OK,OK,D5 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-012,workflow,Word export check,OK,OK,D5 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-013,workflow,preventive reminder review,OK,OK,D5 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-014,workflow,manual queue check,OK,OK,D5 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-015,workflow,opt-out handling check,OK,OK,D5 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-016,incident,open P0 count,0,0,D5 daily incident log,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-017,incident,open P1 count,0,0,D5 daily incident log,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D5,2026-06-19,D5-018,decision,daily decision,GO_CONTINUE_NEXT_DAY or GO_COMPLETE_D7,GO_CONTINUE_NEXT_DAY,D5 daily signoff,release_owner,GO_REQUIRED,PASS,D5 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-001,health,Production healthz,OK,OK,/healthz,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-002,version,database_revision,0008_auto_delivery,0008_auto_delivery,/api/system/version,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-003,version,alembic_head,0008_auto_delivery,0008_auto_delivery,/api/system/version,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-004,version,schema_ok,true,true,/api/system/version,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-005,flags,all dangerous flags disabled,true,true,/api/system/feature-flags,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-006,smoke,online smoke,PASS,PASS,scripts/smoke_petmed.sh,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-007,workflow,supervised AI consultation,OK,OK,D6 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-008,workflow,supervised dynamic consultation,OK,OK,D6 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-009,workflow,supervised case save,OK,OK,D6 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-010,workflow,case detail open,OK,OK,D6 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-011,workflow,case edit check,OK,OK,D6 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-012,workflow,Word export check,OK,OK,D6 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-013,workflow,preventive reminder review,OK,OK,D6 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-014,workflow,manual queue check,OK,OK,D6 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
D6,2026-06-19,D6-015,workflow,opt-out handling check,OK,OK,D6 supervised de-identified workflow evidence,release_owner,GO_REQUIRED,PASS,D6 de-identified evidence; no PHI in repo
