phase,item,owner,location,expected_result,hard_stop_if_failed,status,evidence,notes
preflight,GitHub Actions latest run,developer,GitHub Actions Pet-Med-AI CI Gate,green,yes,,,
preflight,CI static checks,developer,bash scripts/ci_static_checks.sh,PASS,yes,,,
preflight,Online smoke,operator,BASE_URL=https://pet-med-ai-backend.onrender.com bash scripts/smoke_petmed.sh,ALL PASS,yes,,,
preflight,Frontend deploy,operator,Render frontend static site,deploy live,yes,,,
preflight,Backend deploy,operator,Render backend service,deploy live,yes,,,
browser,Open frontend,operator,https://pet-med-ai-frontend-static.onrender.com,site loads,yes,,,
browser,Login,operator,production frontend,login success,yes,,,
browser,Open owned Case,operator,case list -> case detail,case detail loads no 401/404,yes,,,
browser,Confirm admission button,operator,case detail,导出入院/住院记录 DOCX visible,yes,,,
browser,Confirm discharge button,operator,case detail,导出出院小结 DOCX visible,yes,,,
download,Admission DOCX download,operator,case detail button,DOCX downloads,yes,,,
download,Discharge DOCX download,operator,case detail button,DOCX downloads,yes,,,
docx,Open admission DOCX,operator,Word/Pages/LibreOffice,file opens and no placeholders,yes,,,
docx,Open discharge DOCX,operator,Word/Pages/LibreOffice,file opens and no placeholders,yes,,,
network,Check render API status,operator,DevTools Network,POST /api/clinical-docs/render 200,yes,,,
network,Check document hash header,operator,DevTools Network,X-PMAI-Document-Hash exists,yes,,,
network,Check read-only headers,operator,DevTools Network,X-PMAI-Writes-Database false and X-PMAI-Creates-Case false,yes,,,
security,Check console secrets,operator,DevTools Console,no secret values,yes,,,
closeout,Record evidence,release_owner,evidence template,all evidence captured,yes,,,
