gate,decision,evidence
validator,GO,validate_treatment_framework_signed_review_state_persistence_migration_dry_run.py PASS
ci_static_checks,GO,PASS: ci_static_checks
online_smoke,GO,treatment_framework_signed_review_state_persistence_migration_dry_run_smoke=PASS
real_migration,NO_GO,migration_enabled=false
migration_file_creation,NO_GO,migration_file_created=false
schema_change,NO_GO,schema_change_enabled=false
signed_review_state_database_write,NO_GO,NO_GO_TO_SIGNED_REVIEW_STATE_DATABASE_WRITE
case_treatment_persistence,NO_GO,NO_GO_TO_CASE_TREATMENT_PERSISTENCE
prescription_write,NO_GO,no_prescription_write=true
dose_route_frequency,NO_GO,no_dose_route_frequency=true
client_facing_release,NO_GO,not_client_facing=true
next_stage,GO,GO_TO_CASE_DETAIL_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_UI_V1
