control_id,control,expected,current,status,evidence_source,hard_stop_if
PMAI-P0-04-ARR-V3-CA-AUTH-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,authorization_review_document,mismatch
PMAI-P0-04-ARR-V3-CA-AUTH-002,substage,ACTIVE_RESTORE_RUNNER_V3_CREATION_AND_ACTIVATION_AUTHORIZATION_REVIEW_V1,ACTIVE_RESTORE_RUNNER_V3_CREATION_AND_ACTIVATION_AUTHORIZATION_REVIEW_V1,PASS,authorization_review_document,mismatch
PMAI-P0-04-ARR-V3-CA-AUTH-003,entry_commit,41b94ef7e5e337538fa6ef22ebc0a225112c5c59,41b94ef7e5e337538fa6ef22ebc0a225112c5c59,PASS,git_baseline,mismatch
PMAI-P0-04-ARR-V3-CA-AUTH-004,entry_parent,b13a790b9f1803a52e51598523c17779a4a7397a,b13a790b9f1803a52e51598523c17779a4a7397a,PASS,git_baseline,mismatch
PMAI-P0-04-ARR-V3-CA-AUTH-005,github_ci_gate,213|PASS,213|PASS,PASS,github_ci_evidence,not_pass
PMAI-P0-04-ARR-V3-CA-AUTH-006,repository_clean_at_entry,true,true,PASS,git_baseline,false
PMAI-P0-04-ARR-V3-CA-AUTH-007,preparation_complete,true,true,PASS,published_preparation,mismatch
PMAI-P0-04-ARR-V3-CA-AUTH-008,design_candidate_sha256,98d6cd0a1f01c551d6f43bae484842ff75163f5a3ea1fb0c600ef85167c0c31b,98d6cd0a1f01c551d6f43bae484842ff75163f5a3ea1fb0c600ef85167c0c31b,PASS,repository_hash,mismatch
PMAI-P0-04-ARR-V3-CA-AUTH-009,implementation_candidate_sha256,91b9ba1da8cc290fd94a17b4c57c673be0a805ae25f1ddb0ace69922ff9e2081,91b9ba1da8cc290fd94a17b4c57c673be0a805ae25f1ddb0ace69922ff9e2081,PASS,repository_hash,mismatch
PMAI-P0-04-ARR-V3-CA-AUTH-010,locked_runner_sha256,c50002898763c0b7e6aa618d2728f8595496c5c4bb57e300aedbc4d59bbde23f,c50002898763c0b7e6aa618d2728f8595496c5c4bb57e300aedbc4d59bbde23f,PASS,repository_hash,mismatch
PMAI-P0-04-ARR-V3-CA-AUTH-011,target_contract_identity_sha256,e57fbfce3e490cdf185f83e9e376b20fe0ef665fbe293a512a6298d8a6420744,e57fbfce3e490cdf185f83e9e376b20fe0ef665fbe293a512a6298d8a6420744,PASS,published_target_evidence,mismatch
PMAI-P0-04-ARR-V3-CA-AUTH-012,target_status_from_published_evidence,AVAILABLE,AVAILABLE,PASS,published_target_evidence,mismatch
