contract_item,requirement,required,verification_method,status,notes
endpoint,POST /api/emr/import-batches/{batch_id}/execute,yes,code review,,
feature_flag,assert_feature_enabled ENABLE_EMR_REAL_IMPORT before writes,yes,code review and smoke,,
policy,create_only only,yes,code review and dry-run comparison,,
updates,Case updates forbidden,yes,static validator,,
deletes,Case deletes forbidden,yes,static validator,,
batch_status,approved or clinical_signed only,yes,API test,,
rollback,rollback_snapshot_id required,yes,API test,,
signoff,clinical_signoff_id required,yes,API test,,
audit,audit_log append required,yes,API test,,
results,execution run/item result rows required,yes,API test,,
case_marker,created_case_id recorded per item,yes,API test,,
attachments,downloads forbidden,yes,static validator,,
prescriptions,structured medication writes forbidden,yes,static validator,,
billing,billing writes forbidden,yes,static validator,,
pilot_limit,max receipts enforced,yes,API test,,
smoke_before,smoke ALL PASS before execution,yes,runbook evidence,,
smoke_after,smoke ALL PASS after execution,yes,runbook evidence,,
spot_check,100 percent pilot clinical spot check,yes,CSV evidence,,
