species_group,species_label,review_domain,domain_label,prior_stage,abstraction_stage,citation_metadata_allowed,species_applicability_allowed,indication_category_allowed,evidence_strength_hint_allowed,contraindication_theme_allowed,monitoring_theme_allowed,numeric_dose_value_allowed,route_text_allowed,frequency_text_allowed,prescription_direction_allowed,treatment_protocol_allowed,human_review_required,source_review_status,notes
rabbit,Rabbit / lagomorph,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-rabbit-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
rabbit,Rabbit / lagomorph,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-rabbit-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
rabbit,Rabbit / lagomorph,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-rabbit-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
rabbit,Rabbit / lagomorph,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-rabbit-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
rabbit,Rabbit / lagomorph,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-rabbit-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
rabbit,Rabbit / lagomorph,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-rabbit-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
bird,Avian,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-avian-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
bird,Avian,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-avian-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
bird,Avian,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-avian-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
bird,Avian,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-avian-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
bird,Avian,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-avian-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
bird,Avian,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-avian-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
ferret,Ferret / mustelid,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-ferret-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
ferret,Ferret / mustelid,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-ferret-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
ferret,Ferret / mustelid,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-ferret-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
ferret,Ferret / mustelid,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-ferret-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
ferret,Ferret / mustelid,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-ferret-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
ferret,Ferret / mustelid,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-ferret-deepening,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
turtle,Chelonian / turtle / tortoise,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
turtle,Chelonian / turtle / tortoise,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
turtle,Chelonian / turtle / tortoise,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
turtle,Chelonian / turtle / tortoise,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
