gate,expected,decision
validator,pass,GO_IF_PASS
ci_static_checks,pass,GO_IF_PASS
online_smoke,ALL PASS,GO_IF_PASS
production_database_revision,0009_diag_data,GO_IF_MATCH
production_alembic_head,0009_diag_data,GO_IF_MATCH
production_schema_ok,true,GO_IF_TRUE
dangerous_feature_flags_disabled,true,GO_IF_TRUE
case_treatment_persistence,NO_GO_TO_CASE_TREATMENT_PERSISTENCE,NO_GO
prescription_write,NO_GO_TO_PRESCRIPTION_WRITE,NO_GO
dose_route_frequency,NO_GO_TO_DOSE_ROUTE_FREQUENCY_OUTPUT,NO_GO
client_facing_release,NO_GO_TO_CLIENT_FACING_RELEASE,NO_GO
backend_endpoint_change,no_backend_endpoint_change=true,GO_IF_TRUE
frontend_ui_change,no_frontend_ui_change=true,GO_IF_TRUE
migration,no_migration=true,GO_IF_TRUE
next_stage,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_DRY_RUN_V1,GO_IF_ALL_PASS
