step_number,phase,owner,action,command_or_location,expected_result,hard_stop_if_failed,evidence,status,notes
1,preflight,developer,Pull latest code,git pull origin main,local code current,yes,terminal,,
2,preflight,developer,Run CI static checks,bash scripts/ci_static_checks.sh,CI static checks PASS,yes,terminal,,
3,preflight,operator,Check GitHub Actions,GitHub Actions > Pet-Med-AI CI Gate,latest run green,yes,GitHub UI,,
4,preflight,operator,Check healthz,curl /healthz,ok true,yes,terminal,,
5,preflight,operator,Check system version,/api/system/version,schema_ok true,yes,terminal,,
6,preflight,operator,Check feature flags,/api/system/feature-flags,all dangerous off,yes,terminal,,
7,backup,rollback_owner,Verify Render DB backup,Render pet-med-ai-db,backup visible,yes,Render screenshot,,
8,backup,rollback_owner,Record rollback_snapshot_id,release record,non-empty snapshot id,yes,release record,,
9,receipt,clinical_owner,Choose one receipt,/webhooks/emr/inbox,exactly one ready_for_import receipt,yes,UI screenshot,,
10,batch,operator,Create pilot_0 batch,/emr/import-batches,receipt_count 1 frozen batch,yes,batch detail,,
11,dry_run,operator,Run execution dry-run,POST execution-dry-run,quality_gate passed and would_create_count 1,yes,API response,,
12,approval,clinical_owner,Approve batch,clinical approval API/UI,status approved or clinical_signed,yes,batch detail,,
13,flag_window,operator,Enable real import flag,Render env ENABLE_EMR_REAL_IMPORT=true,backend redeployed live,yes,Render event,,
14,execute,operator,Execute pilot_0,POST /execute,created_count 1 updated_count 0,yes,API response,,
15,flag_window,operator,Disable real import flag,Render env ENABLE_EMR_REAL_IMPORT=false,all dangerous flags disabled,yes,feature flags output,,
16,postcheck,operator,Run online smoke,BASE_URL online smoke,ALL PASS,yes,terminal,,
17,postcheck,clinical_owner,Clinical spot-check created case,Case detail page,100 percent pass,yes,spot-check template,,
18,closeout,release_owner,Record decision,rollback decision template,go pause or rollback recorded,yes,release record,,
