gate_id,gate,current_state,required_state,decision
ARRV4-G001,Exact repository base and tree,PASS,PASS,GO_PREPARATION
ARRV4-G002,Exact thirteen-path repository scope,PASS,PASS,GO_PREPARATION
ARRV4-G003,Source V4 evidence anchors,PASS,PASS,GO_PREPARATION
ARRV4-G004,Historical V3 anchors byte exact,PASS,PASS,GO_PREPARATION
ARRV4-G005,V4 target facts are merged evidence only,PASS,PASS,GO_PREPARATION
ARRV4-G006,Runtime authorization records,UNBOUND,REVIEWED_AND_BOUND,HOLD_EXPECTED
ARRV4-G007,Active source binding,UNBOUND,REVIEWED_SHA256,HOLD_EXPECTED
ARRV4-G008,Target identity binding,UNBOUND,REVIEWED_SHA256,HOLD_EXPECTED
ARRV4-G009,Production and staging identity boundaries,UNBOUND,REVIEWED_SHA256,HOLD_EXPECTED
ARRV4-G010,Schema manifest binding,UNBOUND,REVIEWED_SHA256,HOLD_EXPECTED
ARRV4-G011,Target live availability and lifecycle recheck,NOT_PERFORMED,REVALIDATED,HOLD_EXPECTED
ARRV4-G012,Collector and reviewer synthetic safety,PASS,PASS,GO_PREPARATION
ARRV4-G013,Planned active runner path,ABSENT,AUTHORIZED_AND_MATERIALIZED,HOLD_EXPECTED
ARRV4-G014,Legacy validator cutover,NOT_AUTHORIZED,SEPARATELY_AUTHORIZED,HOLD_EXPECTED
ARRV4-G015,Runtime evidence collection,NOT_AUTHORIZED,SEPARATELY_AUTHORIZED,HOLD_EXPECTED
ARRV4-G016,Runner activation and execution,NOT_AUTHORIZED,SEPARATELY_AUTHORIZED,HOLD_EXPECTED
ARRV4-G017,Restore migration and deployment,NOT_AUTHORIZED,SEPARATELY_AUTHORIZED,HOLD_EXPECTED
ARRV4-G018,Preparation package validation,PASS,PASS,GO_PREPARATION
ARRV4-G019,Preparation decision,GO_TO_SEPARATE_AUTHORIZATION_REVIEW,GO_TO_SEPARATE_AUTHORIZATION_REVIEW,GO_PREPARATION
ARRV4-G020,Global execution decision,HOLD,HOLD,HOLD_EXPECTED
