evidence_id,evidence_type,required_field,observed_value,evidence_source,evidence_sha256,evidence_status,blocking,notes
ASE-001,environment,staging_backend_label,pet-med-ai-backend-staging-ohio,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Non-secret Render service label.
ASE-002,environment,staging_region,Ohio_US_East,operator_verified_render_service_record,,VERIFIED_OPERATOR_RECORD,yes,Render service page verified Ohio US East.
ASE-003,environment,staging_database_revision,0009_diag_data,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Revision verified after the smoke.
ASE-004,environment,production_database_revision,0009_diag_data,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Production check was read-only.
ASE-005,environment,dangerous_feature_flags,ALL_FALSE,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Runner passed pre- and post-smoke hard gates.
ASE-006,authentication,user_a_authenticated,true,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Synthetic user only.
ASE-007,authentication,user_b_authenticated,true,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Synthetic user only.
ASE-008,authorization,unauthenticated_request_blocked,true,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,HTTP 401 verified by runner.
ASE-009,authorization,cross_user_case_read_blocked,true,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,HTTP 404 verified by runner.
ASE-010,authorization,cross_user_chain_blocked,true,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,HTTP 404 verified by runner.
ASE-011,workflow,treatment_framework_build,PASS,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,No treatment persistence.
ASE-012,workflow,clinician_review,PASS,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Preview-only review.
ASE-013,workflow,append_only_audit_link,PASS_COUNT_1,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Exactly one append-only row.
ASE-014,workflow,signed_review_state_preview,PASS_PERSISTED_FALSE,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,No signed-state row.
ASE-015,workflow,persistence_prepare_preview,PASS_WRITES_DATABASE_FALSE,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,No database write.
ASE-016,workflow,migration_path_preview,PASS_MIGRATION_ENABLED_FALSE,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,No 0010 creation or apply.
ASE-017,readback,case_snapshot_unchanged,true,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Case hash remained unchanged.
ASE-018,readback,audit_case_link_correct,true,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Owner-scoped audit link verified.
ASE-019,idempotency,dry_run_replay_deterministic,true,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Preview hashes matched.
ASE-020,idempotency,actual_audit_append_count,1,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Actual append was not replayed.
ASE-021,failure,missing_audit_reference_blocked,true,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,HTTP 422 fail-closed.
ASE-022,failure,missing_migration_ack_blocked,true,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,HTTP 422 fail-closed.
ASE-023,failure,forbidden_medication_detail_blocked,true,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,HTTP 422 fail-closed.
ASE-024,failure,no_partial_write_after_failures,true,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Case and audit snapshots remained stable.
ASE-025,safety,case_treatment_write,false,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Case.treatment unchanged.
ASE-026,safety,prescription_write,false,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,No prescription write.
ASE-027,safety,medication_detail_output,false,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,No amount route or frequency output.
ASE-028,governance,operator_role,release_operator,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Role label only.
ASE-029,governance,incident_owner_role,backend_owner,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,Role label only.
ASE-030,artifact,sanitized_runner_output,PASS_SHA256_VERIFIED,external_sanitized_evidence_json,da52b46466a65316331d420c809bc406e49dfa722b1b5875667e30db50eef213,VERIFIED_EXTERNAL_EVIDENCE,yes,External artifact is not committed.
