phase,item,owner,evidence_source,expected_result,hard_stop_if_failed,status,notes
release,Release record prepared,release_owner,docs/ops/releases,release_id present,yes,,
release,Git commit recorded,developer,git rev-parse HEAD,commit present,yes,,
ci,GitHub Actions latest run,developer,GitHub Actions Pet-Med-AI CI Gate,green,yes,,
ci,Local static CI,developer,bash scripts/ci_static_checks.sh,PASS,yes,,
ci,Frontend build,developer,npm run build,success,yes,,
smoke,Online smoke before pilot,operator,BASE_URL online smoke,ALL PASS,yes,,
version,System version,operator,/api/system/version,schema_ok true,yes,,
version,Database revision alignment,operator,/api/system/version,database_revision equals alembic_head,yes,,
flags,Feature flags before window,operator,/api/system/feature-flags,all dangerous disabled,yes,,
security,Security hardening completed,security_owner,Render/GitHub Security Hardening V1,complete,yes,,
security,security_check reviewed,security_owner,bash scripts/security_check.sh,no unreviewed real secret,yes,,
security,Render log leak review,operator,Render Logs search,no secret values found,yes,,
backup,Render DB backup verified,rollback_owner,Render pet-med-ai-db,backup_id present,yes,,
backup,rollback_snapshot_id recorded,rollback_owner,backup/rollback evidence,non-empty,yes,,
backup,rollback owner availability,rollback_owner,operator signoff,available during window,yes,,
batch,receipt_id recorded,operator,webhook inbox,receipt_id present,yes,,
batch,batch_id recorded,operator,batch detail,batch_id present,yes,,
batch,batch status,operator,batch detail,approved or clinical_signed,yes,,
batch,receipt count,operator,batch detail,exactly 1,yes,,
batch,receipt review status,clinical_owner,webhook inbox detail,ready_for_import,yes,,
dry_run,quality gate,operator,execution dry-run,passed true,yes,,
dry_run,would create count,operator,execution dry-run,1,yes,,
dry_run,would update count,operator,execution dry-run,0,yes,,
dry_run,blocked count,operator,execution dry-run,0,yes,,
clinical,clinical final decision,clinical_owner,approver signoff,GO PAUSE or NO-GO,yes,,
clinical,post-execution reviewer assigned,clinical_owner,approver signoff,assigned,yes,,
operator,operator signoff,operator,operator signoff template,signed,yes,,
operator,feature flag close procedure,operator,execution handoff template,documented,yes,,
decision,final Go No-Go decision,release_owner,final decision record,GO PAUSE NO-GO or ROLLBACK-REVIEW,yes,,
