gate,decision,evidence
validator,GO,validate_treatment_framework_signed_review_state_persistence_dry_run.py PASS
ci_static_checks,GO,bash scripts/ci_static_checks.sh PASS
online_smoke,GO,ALL PASS: smoke_petmed
production_hard_gate,GO,database_revision=0009_diag_data; alembic_head=0009_diag_data; schema_ok=true
dangerous_flags,GO,all dangerous feature flags false
signed_review_state_persistence_dry_run,GO,treatment_framework_signed_review_state_persistence_dry_run_smoke=PASS
signed_review_state_database_write,NO-GO,NO_GO_TO_SIGNED_REVIEW_STATE_DATABASE_WRITE
case_treatment_persistence,NO-GO,NO_GO_TO_CASE_TREATMENT_PERSISTENCE
prescription_write,NO-GO,NO_GO_TO_PRESCRIPTION_WRITE
dose_route_frequency,NO-GO,NO_GO_TO_DOSE_ROUTE_FREQUENCY_OUTPUT
client_facing_release,NO-GO,NO_GO_TO_CLIENT_FACING_RELEASE
next_stage,GO,GO_TO_CASE_DETAIL_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_UI_V1
