pilot_report_id,species_group,review_domain,pilot_scope_status,source_collection_execution_status,source_registry_status,evidence_table_status,collection_output_status,collector_assignment_status,second_reviewer_status,source_access_status,copyright_access_status,value_capture_policy,numeric_value_capture_status,route_frequency_capture_status,usable_medication_instruction_status,report_status,go_no_go_status,human_review_required,clinician_signoff_required,notes
pilot-report-rabbit-analgesia_and_pain_control_source_review,rabbit,analgesia_and_pain_control_source_review,controlled_pilot_shell_only,not_started,schema_ready_not_populated,schema_ready_no_values,metadata_only_report_shell,required_before_execution,required_before_execution,required_before_execution,required_before_execution,metadata_only_no_medication_values,forbidden,forbidden,forbidden,template_ready_no_collection_results,NO_GO_FOR_DOSE_ENGINE,true,true,"Controlled pilot report shell only; no source values, no medication instructions, no dose output."
pilot-report-rabbit-antimicrobial_source_review,rabbit,antimicrobial_source_review,controlled_pilot_shell_only,not_started,schema_ready_not_populated,schema_ready_no_values,metadata_only_report_shell,required_before_execution,required_before_execution,required_before_execution,required_before_execution,metadata_only_no_medication_values,forbidden,forbidden,forbidden,template_ready_no_collection_results,NO_GO_FOR_DOSE_ENGINE,true,true,"Controlled pilot report shell only; no source values, no medication instructions, no dose output."
pilot-report-rabbit-antiparasitic_source_review,rabbit,antiparasitic_source_review,controlled_pilot_shell_only,not_started,schema_ready_not_populated,schema_ready_no_values,metadata_only_report_shell,required_before_execution,required_before_execution,required_before_execution,required_before_execution,metadata_only_no_medication_values,forbidden,forbidden,forbidden,template_ready_no_collection_results,NO_GO_FOR_DOSE_ENGINE,true,true,"Controlled pilot report shell only; no source values, no medication instructions, no dose output."
pilot-report-rabbit-fluid_and_supportive_care_source_review,rabbit,fluid_and_supportive_care_source_review,controlled_pilot_shell_only,not_started,schema_ready_not_populated,schema_ready_no_values,metadata_only_report_shell,required_before_execution,required_before_execution,required_before_execution,required_before_execution,metadata_only_no_medication_values,forbidden,forbidden,forbidden,template_ready_no_collection_results,NO_GO_FOR_DOSE_ENGINE,true,true,"Controlled pilot report shell only; no source values, no medication instructions, no dose output."
pilot-report-rabbit-sedation_anesthesia_risk_source_review,rabbit,sedation_anesthesia_risk_source_review,controlled_pilot_shell_only,not_started,schema_ready_not_populated,schema_ready_no_values,metadata_only_report_shell,required_before_execution,required_before_execution,required_before_execution,required_before_execution,metadata_only_no_medication_values,forbidden,forbidden,forbidden,template_ready_no_collection_results,NO_GO_FOR_DOSE_ENGINE,true,true,"Controlled pilot report shell only; no source values, no medication instructions, no dose output."
pilot-report-rabbit-emergency_stabilization_source_review,rabbit,emergency_stabilization_source_review,controlled_pilot_shell_only,not_started,schema_ready_not_populated,schema_ready_no_values,metadata_only_report_shell,required_before_execution,required_before_execution,required_before_execution,required_before_execution,metadata_only_no_medication_values,forbidden,forbidden,forbidden,template_ready_no_collection_results,NO_GO_FOR_DOSE_ENGINE,true,true,"Controlled pilot report shell only; no source values, no medication instructions, no dose output."
pilot-report-bird-analgesia_and_pain_control_source_review,bird,analgesia_and_pain_control_source_review,controlled_pilot_shell_only,not_started,schema_ready_not_populated,schema_ready_no_values,metadata_only_report_shell,required_before_execution,required_before_execution,required_before_execution,required_before_execution,metadata_only_no_medication_values,forbidden,forbidden,forbidden,template_ready_no_collection_results,NO_GO_FOR_DOSE_ENGINE,true,true,"Controlled pilot report shell only; no source values, no medication instructions, no dose output."
pilot-report-bird-antimicrobial_source_review,bird,antimicrobial_source_review,controlled_pilot_shell_only,not_started,schema_ready_not_populated,schema_ready_no_values,metadata_only_report_shell,required_before_execution,required_before_execution,required_before_execution,required_before_execution,metadata_only_no_medication_values,forbidden,forbidden,forbidden,template_ready_no_collection_results,NO_GO_FOR_DOSE_ENGINE,true,true,"Controlled pilot report shell only; no source values, no medication instructions, no dose output."
pilot-report-bird-antiparasitic_source_review,bird,antiparasitic_source_review,controlled_pilot_shell_only,not_started,schema_ready_not_populated,schema_ready_no_values,metadata_only_report_shell,required_before_execution,required_before_execution,required_before_execution,required_before_execution,metadata_only_no_medication_values,forbidden,forbidden,forbidden,template_ready_no_collection_results,NO_GO_FOR_DOSE_ENGINE,true,true,"Controlled pilot report shell only; no source values, no medication instructions, no dose output."
pilot-report-bird-fluid_and_supportive_care_source_review,bird,fluid_and_supportive_care_source_review,controlled_pilot_shell_only,not_started,schema_ready_not_populated,schema_ready_no_values,metadata_only_report_shell,required_before_execution,required_before_execution,required_before_execution,required_before_execution,metadata_only_no_medication_values,forbidden,forbidden,forbidden,template_ready_no_collection_results,NO_GO_FOR_DOSE_ENGINE,true,true,"Controlled pilot report shell only; no source values, no medication instructions, no dose output."
