gate_id,gate,go_condition,observed,status,on_failure
PMAI-P0-04-FDTP-EXEC-EVID-GATE-001,published_commit,equals_6673d3b4bb4052f57f4f7d456a09ac82b20ea281,match,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-002,published_ci_gate,211_PASS,211_PASS,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-003,authorization_record,exact_record_id,match,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-004,target_contract_hash,exact_sha256,match,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-005,one_time_confirmation,present_before_submit,present,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-006,name_absence,confirmed_before_submit,confirmed,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-007,configuration_preflight,exact_contract,match,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-008,cost_preflight,not_over_usd_1,pass,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-009,attempt_submission,exactly_one,one,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-010,attempt_budget_remaining,zero,zero,PASS,HOLD_NO_RETRY
PMAI-P0-04-FDTP-EXEC-EVID-GATE-011,target_creation,successful,successful,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-012,target_status,AVAILABLE,AVAILABLE,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-013,target_name,exact_contract,match,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-014,target_region,Ohio_US_East,match,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-015,target_version,PostgreSQL_18,match,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-016,target_plan,Basic_256mb,match,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-017,target_storage,1GB,match,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-018,storage_autoscaling,disabled,disabled,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-019,high_availability,disabled,disabled,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-020,read_replicas,zero,zero,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-021,connection_pooling,disabled,disabled,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-022,application_attachments,zero,zero,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-023,raw_service_identifier,not_captured,not_captured,PASS,HOLD_PRIVACY_BOUNDARY
PMAI-P0-04-FDTP-EXEC-EVID-GATE-024,credentials,not_captured,not_captured,PASS,HOLD_PRIVACY_BOUNDARY
PMAI-P0-04-FDTP-EXEC-EVID-GATE-025,connection_values,not_captured,not_captured,PASS,HOLD_PRIVACY_BOUNDARY
PMAI-P0-04-FDTP-EXEC-EVID-GATE-026,exact_timestamp,not_invented,not_invented,PASS,HOLD_EVIDENCE_INTEGRITY
PMAI-P0-04-FDTP-EXEC-EVID-GATE-027,evidence_hashes,five_sha256,five_sha256,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-028,repository_only_package,true,true,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-029,provider_access_by_package,false,false,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-030,archive_access_by_package,false,false,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-031,active_runner_created,false,false,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-032,runner_activated,false,false,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-033,runner_executed,false,false,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-034,database_connected,false,false,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-035,restore_executed,false,false,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-036,migration_0010_created_or_executed,false,false,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-037,deployment,false,false,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-038,deletion,false,false,PASS,HOLD
PMAI-P0-04-FDTP-EXEC-EVID-GATE-039,runner_creation_preparation,current_authority_false,false,HOLD,SEPARATE_AUTHORIZATION_REQUIRED
PMAI-P0-04-FDTP-EXEC-EVID-GATE-040,target_retirement,current_authority_false,false,HOLD,SEPARATE_AUTHORIZATION_REQUIRED
