governance_signoff_record_id,species_group,review_domain,governance_signoff_id,workspace_scope,clinical_owner_record_status,second_reviewer_record_status,source_access_record_status,copyright_access_record_status,metadata_only_policy_record_status,value_capture_blocker_record_status,collection_execution_status,signoff_record_status,signoff_completed_status,go_no_go_status,human_review_required,clinician_signoff_required,next_required_stage
gov-signoff-record-rabbit-analgesia_and_pain_control_source_review,rabbit,analgesia_and_pain_control_source_review,gov-signoff-rabbit-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-rabbit-antimicrobial_source_review,rabbit,antimicrobial_source_review,gov-signoff-rabbit-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-rabbit-antiparasitic_source_review,rabbit,antiparasitic_source_review,gov-signoff-rabbit-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-rabbit-fluid_and_supportive_care_source_review,rabbit,fluid_and_supportive_care_source_review,gov-signoff-rabbit-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-rabbit-sedation_anesthesia_risk_source_review,rabbit,sedation_anesthesia_risk_source_review,gov-signoff-rabbit-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-rabbit-emergency_stabilization_source_review,rabbit,emergency_stabilization_source_review,gov-signoff-rabbit-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-bird-analgesia_and_pain_control_source_review,bird,analgesia_and_pain_control_source_review,gov-signoff-bird-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-bird-antimicrobial_source_review,bird,antimicrobial_source_review,gov-signoff-bird-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-bird-antiparasitic_source_review,bird,antiparasitic_source_review,gov-signoff-bird-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-bird-fluid_and_supportive_care_source_review,bird,fluid_and_supportive_care_source_review,gov-signoff-bird-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
