stage,species_group,review_domain,source_pack_required,source_review_status,drug_dose_status,dose_values_present,dose_output_enabled,clinician_review_required,required_source_fields,next_step
exotics_drug_dose_source_review_pack_v1,rabbit,analgesia_and_pain_control_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,rabbit,antimicrobial_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,rabbit,antiparasitic_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,rabbit,fluid_and_supportive_care_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,rabbit,sedation_anesthesia_risk_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,rabbit,emergency_stabilization_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,bird,analgesia_and_pain_control_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,bird,antimicrobial_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,bird,antiparasitic_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,bird,fluid_and_supportive_care_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,bird,sedation_anesthesia_risk_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,bird,emergency_stabilization_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,ferret,analgesia_and_pain_control_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,ferret,antimicrobial_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,ferret,antiparasitic_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,ferret,fluid_and_supportive_care_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,ferret,sedation_anesthesia_risk_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,ferret,emergency_stabilization_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,turtle,analgesia_and_pain_control_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,turtle,antimicrobial_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,turtle,antiparasitic_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,turtle,fluid_and_supportive_care_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,turtle,sedation_anesthesia_risk_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,turtle,emergency_stabilization_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,lizard,analgesia_and_pain_control_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,lizard,antimicrobial_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
exotics_drug_dose_source_review_pack_v1,lizard,antiparasitic_source_review,required,required_not_started,not_reviewed_not_enabled,false,false,true,source_title|edition_or_revision_date|author_or_organization|species_scope|drug_or_domain_scope|contraindication_notes|reviewer_id|review_date|review_status,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_CONTROLLED_RESEARCH_V1
