evidence_id,object_type,object_name,expected_definition,observed_source,observed_state,evidence_status,blocking,notes
SCH-001,revision,revision,0010_treatment_framework_signed_review_states,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Inactive revision identifier.
SCH-002,revision,down_revision,0009_diag_data,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Production hard gate remains 0009.
SCH-003,table,treatment_framework_signed_review_states,additive table creation,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Table is not live in this phase.
SCH-004,column,id,Integer primary key non-null,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-005,column,case_id,Integer non-null,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-006,column,confirmed_diagnosis_label,String(255) non-null,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-007,column,confirmed_by,String(100) non-null,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-008,column,confirmation_source,String(50) non-null,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-009,column,ai_generated,Boolean non-null default false,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-010,column,review_decision,String(80) non-null,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-011,column,signed_review_status,String(80) non-null,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-012,column,reviewed_by,String(100) non-null,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-013,column,signed_by,String(100) non-null,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-014,column,signoff_decision,String(80) non-null,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-015,column,audit_log_reference,String(120) nullable,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-016,column,source_preview_id,String(120) nullable,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-017,column,metadata_json,JSON nullable,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-018,column,created_at,DateTime timezone non-null,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
SCH-019,column,updated_at,DateTime timezone non-null,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_IMPLEMENTATION_ALEMBIC_0010_DRAFT.py.txt,REFERENCE_DRAFT_ONLY,PASS_REFERENCE_DRAFT,yes,Expected column from inactive draft.
