gate_id,gate,required,current,status,on_failure
PMAI-P0-04-SPR-GOV-GNG-001,evidence commit,992976b033f115f6872e53f9144c56387c4c4ecf,992976b033f115f6872e53f9144c56387c4c4ecf,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-002,evidence GitHub CI gate,PASS,PASS,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-003,one-time attempt consumed,1,1,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-004,attempts remaining,0,0,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-005,evidence root contract resolved,false,false,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-006,evidence disposition,HOLD_PMAI_P0_04_ARCHIVE_ROOT_CONTRACT_UNRESOLVED,HOLD_PMAI_P0_04_ARCHIVE_ROOT_CONTRACT_UNRESOLVED,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-007,V1 source hash locked,true,true,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-008,V1 source review static only,true,true,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-009,V1 coverage gap confirmed,true,true,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-010,actual leading dot prefix proven,false,false,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-011,actual unwrapped root proven,false,false,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-012,toc absence proven,false,false,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-013,backup corruption proven,false,false,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-014,Route A replace backup,REJECTED_AT_THIS_GATE,REJECTED_AT_THIS_GATE,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-015,Route B corrected V2 chain,APPROVED_GOVERNANCE_ONLY,APPROVED_GOVERNANCE_ONLY,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-016,Route C direct runner restore,REJECTED,REJECTED,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-017,Route D rerun V1,REJECTED,REJECTED,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-018,new investigator creation authorization,false,false,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-019,new investigation execution authorization,false,false,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-020,archive access during decision,false,false,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-021,target or runner authorization,false,false,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-022,database or restore authorization,false,false,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-023,0010 or deployment authorization,false,false,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-024,next governance subject,SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V2_PREPARATION_REQUIRED,SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V2_PREPARATION_REQUIRED,PASS,HOLD
PMAI-P0-04-SPR-GOV-GNG-025,decision disposition,GO_TO_SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V2_PREPARATION,GO_TO_SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V2_PREPARATION,PASS,HOLD
