governance_signoff_id,species_group,review_domain,workspace_scope,workspace_status,workspace_validation_status,validation_report_status,named_clinical_owner_status,second_reviewer_status,source_access_status,copyright_access_status,metadata_only_policy,value_capture_blocker_status,collection_execution_status,governance_signoff_status,go_no_go_status,human_review_required,clinician_signoff_required,next_required_stage
gov-signoff-rabbit-analgesia_and_pain_control_source_review,rabbit,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-rabbit-antimicrobial_source_review,rabbit,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-rabbit-antiparasitic_source_review,rabbit,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-rabbit-fluid_and_supportive_care_source_review,rabbit,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-rabbit-sedation_anesthesia_risk_source_review,rabbit,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-rabbit-emergency_stabilization_source_review,rabbit,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-bird-analgesia_and_pain_control_source_review,bird,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-bird-antimicrobial_source_review,bird,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-bird-antiparasitic_source_review,bird,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-bird-fluid_and_supportive_care_source_review,bird,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
