control_id,control,expected,current,status,evidence_source,hard_stop_if
PMAI-P0-04-ARCI-EXEC-EVID-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,evidence_document,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-002,substage,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_EXECUTION_EVIDENCE_V1,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_EXECUTION_EVIDENCE_V1,PASS,evidence_document,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-003,authorization_review_commit,7e5e4008ed3613b566aebcf1fc0d12e527ac816c,7e5e4008ed3613b566aebcf1fc0d12e527ac816c,PASS,operator_git_output,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-004,github_ci_gate_number,195,195,PASS,github_ci_screenshot,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-005,github_ci_gate_status,PASS,PASS,PASS,github_ci_screenshot,not_pass
PMAI-P0-04-ARCI-EXEC-EVID-006,repository_clean_before_investigation,true,true,PASS,operator_preflight,false
PMAI-P0-04-ARCI-EXEC-EVID-007,repository_clean_after_investigation,true,true,PASS,operator_terminal_output,false
PMAI-P0-04-ARCI-EXEC-EVID-008,authorization_record_id,PMAI-P0-04-ARCI-AUTH-V1-20260811,PMAI-P0-04-ARCI-AUTH-V1-20260811,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-009,execution_attempt_number,1,1,PASS,operator_command,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-010,investigation_exit_code,0,0,PASS,operator_terminal_output,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-011,investigation_process_completed,true,true,PASS,sanitized_result,false
PMAI-P0-04-ARCI-EXEC-EVID-012,archive_listing_attempt_budget,1,1,PASS,authorization_record,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-013,archive_listing_attempts_consumed,1,1,PASS,completed_metadata_scan,not_one
PMAI-P0-04-ARCI-EXEC-EVID-014,archive_listing_attempts_remaining,0,0,PASS,evidence_decision,not_zero
PMAI-P0-04-ARCI-EXEC-EVID-015,automatic_retry,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-EXEC-EVID-016,manual_retry_authorized,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-EXEC-EVID-017,additional_archive_listing_attempt_authorized,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-EXEC-EVID-018,approved_archive_sha256_match,true,true,PASS,sanitized_result,false
PMAI-P0-04-ARCI-EXEC-EVID-019,investigation_implementation_sha256,2b99a7446fbd5509e22c9fa5f6cb18eca920711208aa37fb4af568fd21f6faab,2b99a7446fbd5509e22c9fa5f6cb18eca920711208aa37fb4af568fd21f6faab,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-020,outer_container_classification,GZIP_TAR,GZIP_TAR,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-021,archive_member_count,29,29,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-022,archive_uncompressed_size_bytes,196874,196874,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-023,regular_file_count,26,26,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-024,directory_entry_count,3,3,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-025,unsafe_or_special_member_count,0,0,PASS,sanitized_result,mismatch
