rule_key,species_scope,lab_reference_range_status,priority_lab_domains,imaging_interpretation_status,priority_imaging_domains,observation_mapping_status,diagnostic_report_mapping_status,source_review_status,gap_level,next_stage_requirement
rabbit,rabbit,missing_species_specific_ranges,CBC; chemistry; glucose; electrolytes; renal; liver; urinalysis,readiness_only_no_ai_interpretation,abdominal radiographs for gas/obstruction; skull/dental radiographs; thoracic radiographs,needs_exotic_reference_ranges_and_units,needs reviewed lab panel and imaging report templates,required_not_started,high,rabbit lab ranges and imaging pattern source pack before interpretation
bird,avian general,missing_species_and_order_specific_ranges,CBC; chemistry; bile acids; uric acid; calcium; protein; pathogen tests,readiness_only_no_ai_interpretation,whole-body radiographs; coelomic/egg binding evaluation; respiratory/air sac patterns,needs avian analyte vocabulary and sample quality flags,needs low-stress avian diagnostic report boundary,required_not_started,high,avian source pack split by psittacine/passserine/pigeon where possible
ferret,ferret,missing_ferret_specific_ranges,glucose; CBC; chemistry; electrolytes; urinalysis; endocrine screening placeholders,readiness_only_no_ai_interpretation,abdominal radiographs/ultrasound for foreign body; thoracic imaging; adrenal/abdominal review,needs ferret reference ranges and hypoglycemia safety flags,needs foreign body and endocrine review templates,required_not_started,high,ferret lab/imaging source review before diagnostic interpretation
turtle,turtle/tortoise/terrapin,missing_species_specific_ranges,CBC; chemistry; calcium/phosphorus; uric acid; hydration; water quality context,readiness_only_no_ai_interpretation,shell/bone; lungs; GI; reproductive/egg retention; buoyancy context,needs chelonian reference range and husbandry-linked interpretation metadata,needs chelonian imaging report template,required_not_started,high,chelonian lab/imaging readiness pack
lizard,lizard including bearded dragon/gecko/iguana/chameleon,missing_species_specific_ranges,CBC; chemistry; calcium/phosphorus; uric acid; hydration; nutrition,readiness_only_no_ai_interpretation,MBD/bone; GI impaction; reproductive; respiratory; trauma,needs species and husbandry metadata for any interpretation,needs lizard imaging pattern checklist,required_not_started,high,lizard source pack split by common pet taxa
snake,snake,missing_species_specific_ranges,CBC; chemistry; uric acid; hydration; pathogen/fecal tests,readiness_only_no_ai_interpretation,respiratory; GI foreign body/retained meal; reproductive; skeletal/trauma,needs snake-specific reference range metadata,needs snake imaging report and regurgitation/respiratory context,required_not_started,high,snake lab/imaging readiness pack
amphibian,amphibian including frog/toad/salamander/newt/axolotl,mostly_missing_species_specific_ranges,water quality; cytology; skin scrape; infectious testing; limited bloodwork readiness,readiness_only_no_ai_interpretation,coelomic fluid; skeletal; foreign body; buoyancy/axolotl aquatic context,needs water quality/device observations before lab interpretation,needs amphibian husbandry and dermatologic report templates,required_not_started,high,amphibian source pack with water quality observation model
fish,ornamental fish,not_applicable_or_specialized_for_common_clinic_flow,water quality; microscopy; cytology; parasite exam; bacterial culture readiness,readiness_only_no_ai_interpretation,generally limited; radiographs/ultrasound only in selected cases,needs water quality Observation mapping as first-class diagnostic data,needs tank/population-level report model before individual interpretation,required_not_started,high,fish water-quality/device observation readiness before medical interpretation
guinea_pig,guinea pig,missing_guinea_pig_specific_ranges,CBC; chemistry; glucose; calcium; urinalysis; vitamin C/nutrition context,readiness_only_no_ai_interpretation,dental skull; urinary stones; GI gas; thoracic respiratory,needs guinea pig reference ranges and dental/urinary flags,needs guinea pig dental/urinary/GI imaging report template,required_not_started,high,guinea pig lab/imaging source pack
hamster,hamster,missing_hamster_specific_ranges,limited bloodwork readiness; hydration; glucose; fecal/parasite; cytology,readiness_only_no_ai_interpretation,cheek pouch; GI; masses; respiratory; trauma,needs hamster-specific feasibility and sample-volume flags,needs small-patient sampling limitations in report template,required_not_started,medium_high,hamster diagnostic feasibility and source review
chinchilla,chinchilla,missing_chinchilla_specific_ranges,CBC; chemistry; glucose; hydration; fecal/parasite; dental context,readiness_only_no_ai_interpretation,dental skull; GI gas/stasis; thoracic; trauma,needs chinchilla reference ranges and heat-stress context flags,needs dental/GI imaging report template,required_not_started,high,chinchilla lab/imaging source pack
rat_mouse,rat/mouse,missing_rat_mouse_specific_ranges,CBC/chemistry feasibility; cytology; respiratory pathogen context; urinalysis,readiness_only_no_ai_interpretation,thoracic respiratory; masses; dental; skeletal/trauma,needs rat/mouse sample-feasibility metadata,needs respiratory/mass report template,required_not_started,medium_high,rat/mouse source review and imaging pattern checklist
hedgehog,hedgehog,missing_hedgehog_specific_ranges,CBC; chemistry; glucose; urinalysis; cytology; infectious/skin tests,readiness_only_no_ai_interpretation,oral/dental; abdominal/thoracic masses; skeletal/neuro; respiratory,needs hedgehog reference ranges and anesthesia/stress context flags,needs oral/mass/neuro imaging report template,required_not_started,high,hedgehog lab/imaging source pack
sugar_glider,sugar glider,missing_sugar_glider_specific_ranges,CBC; chemistry; calcium/phosphorus; glucose; hydration; nutrition context,readiness_only_no_ai_interpretation,skeletal/MBD; dental/oral; pouch/reproductive; trauma,needs sugar glider reference ranges and nutrition metadata,needs nutrition/MBD/self-trauma report template,required_not_started,high,sugar glider source pack and nutrition diagnostic context
reptile,legacy generic reptile fallback,fallback_only_do_not_use_for_species_specific_interpretation,route to turtle/lizard/snake/amphibian/fish when possible,fallback_only_no_ai_interpretation,species split required,fallback only,fallback only,required_not_started,high,replace with split rule whenever species is known
rodent,legacy generic small mammal fallback,fallback_only_do_not_use_for_species_specific_interpretation,route to guinea_pig/hamster/chinchilla/rat_mouse/hedgehog/sugar_glider when possible,fallback_only_no_ai_interpretation,species split required,fallback only,fallback only,required_not_started,high,replace with split rule whenever species is known
