phase,item,owner,command_or_location,expected_result,hard_stop_if_failed,evidence,status,notes
preflight,GitHub Actions green,developer,GitHub Actions > Pet-Med-AI CI Gate,latest run green,yes,GitHub UI,,
preflight,Online smoke before rehearsal,operator,BASE_URL=https://pet-med-ai-backend.onrender.com bash scripts/smoke_petmed.sh,ALL PASS,yes,terminal,,
preflight,System version,operator,/api/system/version,schema_ok true and current=head,yes,terminal,,
preflight,Feature flags before rehearsal,operator,/api/system/feature-flags,all dangerous disabled,yes,terminal,,
receipt,Create signed webhook dry-run,operator,EMR dry-run cURL template,receipt_persisted true,yes,API response,,
receipt,Confirm mapped preview,operator,Webhook Inbox detail,mapped_case_preview present,yes,UI/API,,
review,Mark receipt ready,clinical_owner,Webhook Inbox review action,status ready_for_import,yes,UI/API,,
batch,Create frozen batch,operator,/emr/import-batches,receipt_count 1 and status frozen,yes,UI/API,,
dry_run,Run execution dry-run,operator,POST execution-dry-run,quality_gate passed and would_create_count 1,yes,API response,,
approval,Clinical approval rehearsal,clinical_owner,Clinical approval API/UI,status approved or clinical_signed,yes,UI/API,,
safety,Prove execute blocked,operator,POST /execute while flag disabled,HTTP 403 feature flag disabled,yes,API response,,
post,Online smoke after rehearsal,operator,BASE_URL online smoke,ALL PASS,yes,terminal,,
closeout,Record evidence,release_owner,Evidence template,all ids captured,yes,CSV,,
closeout,Record decision,clinical_owner,Go No-Go template,decision recorded,yes,CSV,,
