section,item,required,owner,status,evidence,notes
technical,Alembic current is head,yes,tech_lead,pending,,
technical,Online smoke ALL PASS,yes,tech_lead,pending,,
technical,Webhook inbox review API available,yes,tech_lead,pending,,
technical,Review action writes audit_log,yes,tech_lead,pending,,
technical,No unrelated code changes in release,yes,tech_lead,pending,,
data,Batch ID assigned,yes,data_lead,pending,,
data,Record count frozen,yes,data_lead,pending,,
data,Payload hash manifest generated,yes,data_lead,pending,,
data,Idempotency-Key unique in batch,yes,data_lead,pending,,
data,Required mapping fields complete,yes,data_lead,pending,,
data,Opt-out / withdrawn records excluded,yes,data_lead,pending,,
clinical,Clinical sample review completed,yes,clinical_lead,pending,,
clinical,High-risk samples reviewed 100 percent,yes,clinical_lead,pending,,
clinical,Clinical signoff recorded,yes,clinical_lead,pending,,
operations,Import window scheduled,yes,ops_lead,pending,,
operations,Rollback owner assigned,yes,ops_lead,pending,,
operations,Database backup / snapshot confirmed,yes,ops_lead,pending,,
decision,Final Go / No-Go decision recorded,yes,project_owner,pending,,
