gate_id,gate,required,current,status,decision_if_failed
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G001,exact repository and base branch,pet-med-ai/Pet-med-ai|main,pet-med-ai/Pet-med-ai|main,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G002,exact base commit and tree,11d5253d7a592c13f5a262f6ceef08046fb73866|c3600d0913950460dfa1e044fe1759972390d012,11d5253d7a592c13f5a262f6ceef08046fb73866|c3600d0913950460dfa1e044fe1759972390d012,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G003,source authorization review PR,19,19,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G004,source authorization review merge and tree,11d5253d_exact|c3600d0_exact,11d5253d_exact|c3600d0_exact,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G005,source authorization review CI,226|PASS,226|PASS,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G006,source authorization review artifact hashes,ALL_8_EXACT,ALL_8_EXACT,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G007,exact nine path scope,9,9,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G008,changed path sequence hash,414cd0d429832d7d349dd32a0d458353339b58cb0ba88a89a297a3add96450ff,414cd0d429832d7d349dd32a0d458353339b58cb0ba88a89a297a3add96450ff,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G009,collection authorization record id and hash,EXACT,EXACT,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G010,repository static authorization envelope only,true,true,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G011,current collection execution authorized,false,false,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G012,current external execution authorized,false,false,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G013,current runtime evidence collection authorized,false,false,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G014,post effective collection execution eligible,true,true,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G015,post effective collection execution authorized,false,false,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G016,one time action confirmation,true,false,HOLD,SEPARATE_ACTION_TIME_CONFIRMATION_REQUIRED
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G017,current collection attempts authorized,0,0,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G018,post confirmation attempt limit,1,1,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G019,collection attempts consumed,0,0,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G020,no retry or authorization reuse,true,true,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G021,target contract and service provenance hashes,EXACT,EXACT,PASS,HOLD
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-G022,target hashes are sanitized provenance only,true,true,PASS,HOLD
