control_id,control,expected,current,status,evidence_source,hard_stop_if
PMAI-P0-04-ARCI-V3-EXEC-EVID-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,evidence_document,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-002,substage,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V3_EXECUTION_EVIDENCE_V1,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V3_EXECUTION_EVIDENCE_V1,PASS,evidence_document,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-003,authorization_review_commit,8f7a4a25908e874f406b08e9ae2d1dc9de69db26,8f7a4a25908e874f406b08e9ae2d1dc9de69db26,PASS,operator_git_output,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-004,github_ci_gate_number,203,203,PASS,github_ci_screenshot,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-005,github_ci_gate_status,PASS,PASS,PASS,github_ci_screenshot,not_pass
PMAI-P0-04-ARCI-V3-EXEC-EVID-006,repository_clean_after_investigation,true,true,PASS,operator_terminal_output,false
PMAI-P0-04-ARCI-V3-EXEC-EVID-007,authorization_record_id,PMAI-P0-04-ARCI-V3-AUTH-V1-20260813,PMAI-P0-04-ARCI-V3-AUTH-V1-20260813,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-008,evidence_record_id,PMAI-P0-04-ARCI-V3-EXEC-EVID-V1-20260813,PMAI-P0-04-ARCI-V3-EXEC-EVID-V1-20260813,PASS,evidence_document,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-009,v3_attempt_number,1,1,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-010,cumulative_archive_listing_attempt_number,3,3,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-011,investigation_exit_code,0,0,PASS,operator_terminal_output,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-012,v1_archive_listing_attempts_consumed,1,1,PASS,prior_evidence,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-013,v2_archive_listing_attempts_consumed,1,1,PASS,prior_evidence,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-014,v3_archive_listing_attempts_consumed,1,1,PASS,completed_metadata_scan,not_one
PMAI-P0-04-ARCI-V3-EXEC-EVID-015,v3_archive_listing_attempts_remaining,0,0,PASS,evidence_decision,not_zero
PMAI-P0-04-ARCI-V3-EXEC-EVID-016,cumulative_archive_listing_attempts_consumed,3,3,PASS,evidence_decision,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-017,automatic_retry,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-018,manual_retry_authorized,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-019,authorization_reuse_allowed,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-020,approved_archive_sha256_match,true,true,PASS,sanitized_result,false
PMAI-P0-04-ARCI-V3-EXEC-EVID-021,investigation_implementation_sha256,6800bc57c018ad17deb84b2c821baad4752e23f9aa432b01d64f9518737d5e14,6800bc57c018ad17deb84b2c821baad4752e23f9aa432b01d64f9518737d5e14,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-022,archive_member_count,29,29,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-023,normalized_path_violation_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-024,duplicate_normalized_member_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-025,case_collision_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-026,unsafe_or_special_member_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-027,toc_dat_candidate_count,1,1,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-028,toc_dat_relation_category,IMMEDIATE_CHILD_OF_IDENTIFIED_LOGICAL_ROOT,IMMEDIATE_CHILD_OF_IDENTIFIED_LOGICAL_ROOT,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-029,toc_dat_normalized_depth,2,2,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-030,root_layout_classification,PG_DIRECTORY_ROOT_DEEP_WRAPPED,PG_DIRECTORY_ROOT_DEEP_WRAPPED,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-031,all_members_contained_by_logical_root,true,true,PASS,sanitized_result,false
PMAI-P0-04-ARCI-V3-EXEC-EVID-032,wrapper_depth,2,2,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-033,root_contract_resolved,true,true,PASS,sanitized_result,false
PMAI-P0-04-ARCI-V3-EXEC-EVID-034,stop_code,NONE,NONE,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-035,decision,GO_TO_SEPARATE_RESTORE_RUNNER_DESIGN_PREPARATION_V3,GO_TO_SEPARATE_RESTORE_RUNNER_DESIGN_PREPARATION_V3,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V3-EXEC-EVID-036,member_payload_read,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-037,member_extraction_performed,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-038,archive_modified,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-039,raw_member_names_emitted,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-040,raw_external_path_emitted,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-041,numeric_metric_saturation_detected,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-042,package_archive_file_opened,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-043,package_backup_archive_listing_invoked,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-044,new_investigator_created,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-045,restore_runner_created,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-046,database_connection,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-047,restore_execution,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-048,migration_created,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-049,application_deployment,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-050,resource_deleted,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-051,backup_restoreability_verified,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-052,disposable_restore_rehearsal_complete,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-053,p0_04_execution_authorized,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-V3-EXEC-EVID-054,staging_0010_apply_authorized,false,false,PASS,evidence_decision,true
