species_group,species_or_taxon,current_rule,coverage_status,covered_presentations,critical_gaps,priority,next_stage,drug_dose_status,source_review_status
lagomorph,rabbit,rabbit,triage_scaffold_ready_needs_deepening,anorexia; feces_down; no_feces; abdominal_distension; dental_signs; respiratory_distress; head_tilt; urinary_or_reproductive_issue,"E cuniculi, uterine disease, urolithiasis, pododermatitis, dental imaging details, species-specific lab interpretation, analgesia/anesthesia risk boundaries",P0,Exotics Rabbit Deepening V1,not_reviewed_not_enabled,required_not_started
avian,bird_general,bird,triage_scaffold_ready_needs_species_split,respiratory_distress; ruffled_feathers; egg_binding; regurgitation; appetite_down; collapse,"parrot, passerine, pigeon, raptor, poultry/waterfowl split; PBFD/PDD/aspergillosis/heavy metal/toxicosis depth; low-stress handling protocols; avian lab interpretation",P0,Exotics Avian Deepening V1,not_reviewed_not_enabled,required_not_started
reptile,reptile_general,reptile,triage_scaffold_ready_needs_split,husbandry_problem; uvb_issue; temperature_issue; humidity_issue; mbd_signs; dysecdysis; respiratory_distress; vent_prolapse; neurologic_signs,species-specific husbandry tables; turtle/tortoise/lizard/snake/amphibian split; UVB index and basking gradients; reptile lab and imaging interpretation,P0,Exotics Reptile Split V1,not_reviewed_not_enabled,required_not_started
chelonians,turtle_tortoise,reptile,mapped_to_reptile_needs_dedicated_rule,shell_skin_issue; husbandry_problem; respiratory_distress; appetite_down,aquatic vs terrestrial husbandry split; shell rot/abscess/ear disease; brumation risk; water quality; species-specific diet and UVB,P1,Exotics Reptile Split V1,not_reviewed_not_enabled,required_not_started
squamate,lizard,reptile,mapped_to_reptile_needs_dedicated_rule,mbd_signs; uvb_issue; dysecdysis; appetite_down; respiratory_distress,"bearded dragon/leopard gecko/iguana/chameleon split; species-specific temperature, humidity, UVB, diet and parasite patterns",P1,Exotics Reptile Split V1,not_reviewed_not_enabled,required_not_started
squamate,snake,reptile,mapped_to_reptile_needs_dedicated_rule,respiratory_distress; dysecdysis; appetite_down; neurologic_signs,ball python/corn snake/boa split; prey history; regurgitation timing; mite/IBD risk; enclosure gradient and shedding parameters,P1,Exotics Reptile Split V1,not_reviewed_not_enabled,required_not_started
amphibian,amphibian_general,reptile,mapped_to_reptile_inadequate_needs_rule,husbandry_problem; humidity_issue; skin_issue; appetite_down,"water quality, substrate/toxin exposure, chytrid risk, species-specific humidity/temperature, amphibian handling and medication sensitivity",P2,Exotics Amphibian/Aquatic Readiness V1,not_reviewed_not_enabled,required_not_started
aquatic,fish_general,reptile,mapped_to_reptile_inadequate_needs_rule,water_quality_placeholder; appetite_down; skin_gill_issue_placeholder,"water chemistry, tank cycling, gill disease, parasites, temperature/salinity, species-specific aquatics triage and diagnostics",P2,Exotics Amphibian/Aquatic Readiness V1,not_reviewed_not_enabled,required_not_started
mustelid,ferret,ferret,triage_scaffold_ready_needs_deepening,hypoglycemia_signs; weakness; drooling; vomiting; foreign_body_risk; respiratory_distress; urinary_issue,"insulinoma, adrenal disease, ECE, lymphoma, vaccine reactions, cardiopulmonary disease, surgical/anesthesia risk boundaries",P1,Exotics Ferret Deepening V1,not_reviewed_not_enabled,required_not_started
caviomorph,guinea_pig,rodent,mapped_to_rodent_needs_species_rule,dental_signs; anorexia; feces_down; diarrhea; respiratory_distress; weight_loss,"vitamin C deficiency, urolithiasis, ovarian cysts, pododermatitis, dental radiography, pregnancy/toxemia risk, antibiotic safety flags",P1,Exotics Small Mammal Split V1,not_reviewed_not_enabled,required_not_started
rodent,hamster,rodent,mapped_to_rodent_needs_species_rule,anorexia; diarrhea; respiratory_distress; skin_issue; trauma,"wet-tail triage, cheek pouch disease, pyometra, tumor patterns, torpor vs illness, species-specific handling and anesthesia risk",P2,Exotics Small Mammal Split V1,not_reviewed_not_enabled,required_not_started
caviomorph,chinchilla,rodent,mapped_to_rodent_needs_species_rule,dental_signs; weight_loss; feces_down; diarrhea; respiratory_distress,"dental elongation depth, fur slip/dermatology, GI stasis, heat stress, dust bath/environment review",P2,Exotics Small Mammal Split V1,not_reviewed_not_enabled,required_not_started
rodent,rat_mouse,rodent,mapped_to_rodent_needs_species_rule,respiratory_distress; skin_issue; anorexia; weight_loss; trauma,"mycoplasma/chronic respiratory disease, mammary tumors, abscesses, aging comorbidity, species-specific analgesia/anesthesia risk",P2,Exotics Small Mammal Split V1,not_reviewed_not_enabled,required_not_started
insectivore,hedgehog,rodent,taxonomy_mapping_needs_review_and_dedicated_rule,anorexia; skin_issue; low_energy; weight_loss_placeholder,"wobbly hedgehog syndrome, mites/dermatology, dental disease, obesity, neoplasia, hibernation/temperature risk",P2,Exotics Small Mammal Split V1,not_reviewed_not_enabled,required_not_started
marsupial,sugar_glider,rodent,taxonomy_mapping_needs_review_and_dedicated_rule,low_energy; appetite_down; husbandry_placeholder; dental_placeholder,"hindlimb paresis/nutrition, calcium/phosphorus balance, self-mutilation, pouch/reproductive disease, social/husbandry stress",P2,Exotics Small Mammal Split V1,not_reviewed_not_enabled,required_not_started
invertebrate,tarantula_scorpion_invertebrate,,not_covered,none,"molting, dehydration, enclosure parameters, trauma, toxicity, owner safety, species-specific no-handle guidance",P3,Exotics Scope Decision V1,not_reviewed_not_enabled,required_not_started
