gate,required,go_criteria,status
validator,true,python3 scripts/validate_diagnosticreport_ai_summary_persistence.py PASS,pending
ci_static_checks,true,bash scripts/ci_static_checks.sh PASS,pending
online_smoke,true,smoke_petmed.sh ALL_PASS,pending
dry_run_endpoint_smoke,true,diagnosticreport_ai_summary_persistence dry-run PASS,pending
controlled_ai_summary_write,true,existing reviewed DiagnosticReport ai_summary write PASS,pending
production_revision,true,database_revision=0009_diag_data,pending
alembic_head,true,alembic_head=0009_diag_data,pending
schema_ok,true,schema_ok=true,pending
dangerous_flags,true,dangerous feature flags disabled,pending
allowed_write_scope,true,DiagnosticReport ai_summary ai_summary_status reviewed_by reviewed_at only,pending
no_case_write,true,updates_case=false,pending
no_observation_write,true,updates_observation=false,pending
no_imaging_write,true,updates_imaging_study=false,pending
no_audit_log_write,true,writes_audit_log=false,pending
no_reasoning_trace,true,persists_reasoning_trace=false,pending
no_final_diagnosis,true,generates_final_diagnosis=false,pending
no_treatment_plan,true,creates_treatment_plan=false,pending
no_prescription,true,writes_prescription=false,pending
no_drug_dose,true,returns_drug_dose=false,pending
requires_human_review,true,requires_human_review=true,pending
clinician_signoff_required,true,clinician_signoff_required=true,pending
decision,true,GO_TO_OBSERVATION_ABNORMAL_FLAG_REVIEW_V1,pending
