item,status,evidence
target_files_limited,REQUIRED,"Only Case Detail UI docs, validator, ci_static_checks.sh, smoke_petmed.sh, and frontend/src/pages/CaseDetail.jsx"
requires_clinician_confirmed_diagnosis,REQUIRED,"UI requires confirmed_diagnosis_label and confirmed_by before dry-run call"
ai_does_not_confirm_diagnosis,REQUIRED,"Payload sends confirmation_source=clinician and ai_generated=false"
dry_run_endpoint_only,REQUIRED,"UI calls /api/diagnostic-data/dry-run/confirmed-diagnosis/treatment-framework/build"
read_only,REQUIRED,"UI displays read_only=true"
writes_database_false,REQUIRED,"UI displays writes_database=false"
writes_case_treatment_false,REQUIRED,"UI displays writes_case_treatment=false"
prescription_blocked,REQUIRED,"creates_prescription=false and writes_prescription=false"
dose_route_frequency_blocked,REQUIRED,"returns_drug_dose=false returns_drug_route=false returns_drug_frequency=false"
not_client_facing,REQUIRED,"UI states not_client_facing=true"
human_review,REQUIRED,"requires_human_review=true and clinician_signoff_required=true"
frontend_reachable,REQUIRED,"smoke_petmed.sh checks frontend reachable"
cumulative_smoke_preserved,REQUIRED,"CI_SMOKE_CUMULATIVE_GUARD_RESTORE_V1 markers remain active"
decision,GO,"GO_TO_TREATMENT_FRAMEWORK_CLINICIAN_REVIEW_WORKFLOW_V1"
