table_id,species_group,species_label,review_domain,domain_label,prior_stage,table_status,source_rows_allowed,citation_metadata_required,species_applicability_required,indication_category_required,qualitative_evidence_strength_only,contraindication_theme_required,monitoring_theme_required,source_conflict_review_required,numeric_dose_value_column_present,route_text_column_present,frequency_text_column_present,prescription_direction_column_present,treatment_protocol_column_present,human_review_required,source_review_status,notes
exotics_evidence_table__rabbit__analgesia_and_pain_control_source_review,rabbit,Rabbit / lagomorph,analgesia_and_pain_control_source_review,Pain-control source evidence table shell,post-rabbit-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__rabbit__antimicrobial_source_review,rabbit,Rabbit / lagomorph,antimicrobial_source_review,Antimicrobial source evidence table shell,post-rabbit-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__rabbit__antiparasitic_source_review,rabbit,Rabbit / lagomorph,antiparasitic_source_review,Antiparasitic source evidence table shell,post-rabbit-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__rabbit__fluid_and_supportive_care_source_review,rabbit,Rabbit / lagomorph,fluid_and_supportive_care_source_review,Supportive-care source evidence table shell,post-rabbit-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__rabbit__sedation_anesthesia_risk_source_review,rabbit,Rabbit / lagomorph,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk source evidence table shell,post-rabbit-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__rabbit__emergency_stabilization_source_review,rabbit,Rabbit / lagomorph,emergency_stabilization_source_review,Emergency stabilization source evidence table shell,post-rabbit-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__bird__analgesia_and_pain_control_source_review,bird,Avian,analgesia_and_pain_control_source_review,Pain-control source evidence table shell,post-avian-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__bird__antimicrobial_source_review,bird,Avian,antimicrobial_source_review,Antimicrobial source evidence table shell,post-avian-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__bird__antiparasitic_source_review,bird,Avian,antiparasitic_source_review,Antiparasitic source evidence table shell,post-avian-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__bird__fluid_and_supportive_care_source_review,bird,Avian,fluid_and_supportive_care_source_review,Supportive-care source evidence table shell,post-avian-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__bird__sedation_anesthesia_risk_source_review,bird,Avian,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk source evidence table shell,post-avian-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__bird__emergency_stabilization_source_review,bird,Avian,emergency_stabilization_source_review,Emergency stabilization source evidence table shell,post-avian-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__ferret__analgesia_and_pain_control_source_review,ferret,Ferret / mustelid,analgesia_and_pain_control_source_review,Pain-control source evidence table shell,post-ferret-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
exotics_evidence_table__ferret__antimicrobial_source_review,ferret,Ferret / mustelid,antimicrobial_source_review,Antimicrobial source evidence table shell,post-ferret-deepening,schema_only_no_evidence_rows,true,true,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Schema shell only; no evidence rows or usable medication instructions are included.
