control_id,control,expected,current,status,evidence_source,hard_stop_if
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,authorization_document,mismatch
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-002,authorization_subject,ACTIVE_RESTORE_RUNNER_V3_SANITIZED_RUNTIME_BINDING_EVIDENCE_COLLECTION_AND_REVIEW_V4_EXECUTION_AUTHORIZATION_V1,ACTIVE_RESTORE_RUNNER_V3_SANITIZED_RUNTIME_BINDING_EVIDENCE_COLLECTION_AND_REVIEW_V4_EXECUTION_AUTHORIZATION_V1,PASS,authorization_document,mismatch
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-003,repository,pet-med-ai/Pet-med-ai,pet-med-ai/Pet-med-ai,PASS,repository_baseline,mismatch
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-004,base_branch,main,main,PASS,repository_baseline,mismatch
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-005,base_commit,11d5253d7a592c13f5a262f6ceef08046fb73866,11d5253d7a592c13f5a262f6ceef08046fb73866,PASS,repository_baseline,mismatch
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-006,base_tree_sha,c3600d0913950460dfa1e044fe1759972390d012,c3600d0913950460dfa1e044fe1759972390d012,PASS,repository_baseline,mismatch
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-007,source_authorization_review_pr,19,19,PASS,source_authorization_review,mismatch
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-008,source_authorization_review_head_commit,56d31819bff4b271e9d265b032156741e8a20beb,56d31819bff4b271e9d265b032156741e8a20beb,PASS,source_authorization_review,mismatch
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-009,source_authorization_review_merge_commit,11d5253d7a592c13f5a262f6ceef08046fb73866,11d5253d7a592c13f5a262f6ceef08046fb73866,PASS,source_authorization_review,mismatch
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-010,source_authorization_review_tree_sha,c3600d0913950460dfa1e044fe1759972390d012,c3600d0913950460dfa1e044fe1759972390d012,PASS,source_authorization_review,mismatch
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-011,source_authorization_review_ci_run_id,33077607028,33077607028,PASS,github_ci_evidence,mismatch
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-012,source_authorization_review_ci_run_number,226,226,PASS,github_ci_evidence,mismatch
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-013,source_authorization_review_ci_status,PASS,PASS,PASS,github_ci_evidence,not_pass
PMAI-P0-04-ARR-V3-SRBE-V4-EXEC-AUTH-014,source_authorization_review_required_jobs,Frontend build gate + Static backend and release validators,Frontend build gate + Static backend and release validators,PASS,github_ci_evidence,mismatch
