control_id,control,expected,current,status,evidence
PMAI-P0-04-ARCI-V3-PREP-CHK-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,preparation document
PMAI-P0-04-ARCI-V3-PREP-CHK-002,substage,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V3_PREPARATION_V1,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V3_PREPARATION_V1,PASS,preparation document
PMAI-P0-04-ARCI-V3-PREP-CHK-003,decision_commit,98fe4d902d4b24bf13837aaf0ea7e5f7bdc9d1f3,98fe4d902d4b24bf13837aaf0ea7e5f7bdc9d1f3,PASS,published baseline
PMAI-P0-04-ARCI-V3-PREP-CHK-004,decision_parent,da837e6eb35819457b340d9fe9fd3a4336dc6673,da837e6eb35819457b340d9fe9fd3a4336dc6673,PASS,published baseline
PMAI-P0-04-ARCI-V3-PREP-CHK-005,github_ci_gate,201,201,PASS,published baseline
PMAI-P0-04-ARCI-V3-PREP-CHK-006,github_ci_gate_status,PASS,PASS,PASS,published baseline
PMAI-P0-04-ARCI-V3-PREP-CHK-007,selected_route,ROUTE_C_REBUILD_DEPTH_AWARE_METADATA_INVESTIGATION_CHAIN_V3,ROUTE_C_REBUILD_DEPTH_AWARE_METADATA_INVESTIGATION_CHAIN_V3,PASS,decision record
PMAI-P0-04-ARCI-V3-PREP-CHK-008,selected_route_status,RETAINED,RETAINED,PASS,decision record
PMAI-P0-04-ARCI-V3-PREP-CHK-009,v1_archive_listing_attempts_consumed,1,1,PASS,published evidence
PMAI-P0-04-ARCI-V3-PREP-CHK-010,v2_archive_listing_attempts_consumed,1,1,PASS,published evidence
PMAI-P0-04-ARCI-V3-PREP-CHK-011,cumulative_archive_listing_attempts_consumed,2,2,PASS,published evidence
PMAI-P0-04-ARCI-V3-PREP-CHK-012,cumulative_archive_listing_attempts_remaining,0,0,PASS,published evidence
PMAI-P0-04-ARCI-V3-PREP-CHK-013,root_contract_resolved,false,false,PASS,published evidence
PMAI-P0-04-ARCI-V3-PREP-CHK-014,toc_dat_presence_established,true,true,PASS,published decision
PMAI-P0-04-ARCI-V3-PREP-CHK-015,actual_archive_layout_cause_resolved,false,false,PASS,published decision
PMAI-P0-04-ARCI-V3-PREP-CHK-016,backup_corruption_established,false,false,PASS,published decision
PMAI-P0-04-ARCI-V3-PREP-CHK-017,v3_inert_design_created,true,true,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-018,active_v3_investigator_created,false,false,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-019,v3_source_storage_suffix,.py.txt,.py.txt,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-020,v3_source_execution_enabled,false,false,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-021,v3_source_default_mode,CONTRACT_ONLY,CONTRACT_ONLY,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-022,v3_source_executed_during_preparation,false,false,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-023,v3_authorization_record_effective,false,false,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-024,v3_execution_requires_explicit_flag,true,true,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-025,v3_member_payload_read_allowed,false,false,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-026,v3_member_extraction_allowed,false,false,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-027,v3_archive_write_allowed,false,false,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-028,v3_automatic_retry_allowed,false,false,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-029,v3_candidate_design_selected_for_authorization_review,true,true,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-030,v3_implementation_authorized,false,false,PASS,inert source contract
PMAI-P0-04-ARCI-V3-PREP-CHK-031,v3_allows_one_optional_leading_dot_prefix,true,true,PASS,path contract
PMAI-P0-04-ARCI-V3-PREP-CHK-032,v3_allows_directory_root_marker,true,true,PASS,path contract
PMAI-P0-04-ARCI-V3-PREP-CHK-033,v3_rejects_internal_dot_component,true,true,PASS,path contract
PMAI-P0-04-ARCI-V3-PREP-CHK-034,v3_rejects_parent_component,true,true,PASS,path contract
PMAI-P0-04-ARCI-V3-PREP-CHK-035,v3_rejects_absolute_path,true,true,PASS,path contract
PMAI-P0-04-ARCI-V3-PREP-CHK-036,v3_rejects_backslash,true,true,PASS,path contract
PMAI-P0-04-ARCI-V3-PREP-CHK-037,v3_rejects_control_character,true,true,PASS,path contract
PMAI-P0-04-ARCI-V3-PREP-CHK-038,v3_rejects_empty_component,true,true,PASS,path contract
PMAI-P0-04-ARCI-V3-PREP-CHK-039,v3_rejects_drive_prefix,true,true,PASS,path contract
