species_group,species_scope,taxonomy_group,review_domain,evidence_minimum,current_status,controlled_research_task,required_metadata_only,blocked_content,go_no_go_requirement,dose_output_enabled,prescription_enabled,client_facing,notes
rabbit,rabbit,lagomorph,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
rabbit,rabbit,lagomorph,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
rabbit,rabbit,lagomorph,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
rabbit,rabbit,lagomorph,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
rabbit,rabbit,lagomorph,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
rabbit,rabbit,lagomorph,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
bird,avian_general,avian,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
bird,avian_general,avian,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
bird,avian_general,avian,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
bird,avian_general,avian,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
bird,avian_general,avian,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
bird,avian_general,avian,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
ferret,ferret,mustelid,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
ferret,ferret,mustelid,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
ferret,ferret,mustelid,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
ferret,ferret,mustelid,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
ferret,ferret,mustelid,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
