risk_id,severity,category,risk,likely_cause,control,owner,status,notes
ARD-R001,P0,consent,client receives message after opt-out,opt-out not checked at send time,enforce opt_out snapshot before every send,clinical_ops_owner,open,
ARD-R002,P0,privacy,message sent to wrong owner,stale contact or owner mismatch,verify owner_id/contact binding and channel preference,developer,open,
ARD-R003,P0,security,provider credential leak,secret in repo/logs,store only in secret manager and redact logs,security_owner,open,
ARD-R004,P0,safety,automated message gives medical order,template wording unsafe,template approval and no diagnosis/prescription wording,clinical_ops_owner,open,
ARD-R005,P1,compliance,rabies reminder violates local law,hardcoded interval ignores jurisdiction,require local-law/product-label configuration,clinical_owner,open,
ARD-R006,P1,operations,duplicate messages sent,retry/dedup bug,idempotency key and cooldown,developer,open,
ARD-R007,P1,operations,too many messages in one day,no rate limit,daily and weekly owner caps,front_desk_owner,open,
ARD-R008,P1,provider,provider outage causes retry storm,provider failure not bounded,exponential backoff and circuit breaker,developer,open,
ARD-R009,P1,audit,no delivery evidence,delivery log missing,append-only delivery log,release_owner,open,
ARD-R010,P1,incident,no emergency stop,no kill switch,ENABLE_PREVENTIVE_AUTO_DELIVERY hard off switch,release_owner,open,
ARD-R011,P2,client_experience,message outside acceptable hours,no quiet hours,send window and timezone handling,front_desk_owner,open,
ARD-R012,P2,quality,template confusing or too long,no owner readability review,template review and monthly sample audit,clinical_ops_owner,open,
ARD-R013,P2,data_quality,pet category wrong,incomplete preventive history,manual approval for first send,clinical_ops_owner,open,
ARD-R014,P0,platform,delivery code mutates Case,wrong API side effect,forbidden by validator and smoke,developer,open,
ARD-R015,P0,platform,delivery opens EMR import flag,feature flag misuse,validator forbids EMR import flags,release_owner,open,
