gate,required,go_condition,no_go_condition
validator,true,"PASS: Case Detail Treatment Framework Preview UI V1","validator fails"
ci_static_checks,true,"PASS: ci_static_checks","ci fails"
online_smoke,true,"ALL PASS: smoke_petmed","online smoke fails"
frontend,true,"PASS: frontend reachable","frontend unavailable"
endpoint_smoke,true,"treatment_framework_dry_run_endpoint_smoke=PASS","endpoint smoke fails or returns 404"
ui_static_smoke,true,"case_detail_treatment_framework_preview_ui=PASS","UI markers missing"
database_revision,true,"database_revision=0009_diag_data","database revision drift"
alembic_head,true,"alembic_head=0009_diag_data","alembic head drift"
schema_ok,true,"schema_ok=true","schema not ok"
dangerous_flags,true,"dangerous_feature_flags_disabled=true","any dangerous flag enabled or missing"
no_db_write,true,"writes_database=false","DB write detected"
no_case_treatment_write,true,"writes_case_treatment=false","Case.treatment write detected"
no_prescription,true,"creates_prescription=false and writes_prescription=false","prescription created or written"
no_dose_route_frequency,true,"returns_drug_dose=false returns_drug_route=false returns_drug_frequency=false","dose route or frequency output"
human_review,true,"requires_human_review=true and clinician_signoff_required=true","human review missing"
decision,true,"GO_TO_TREATMENT_FRAMEWORK_CLINICIAN_REVIEW_WORKFLOW_V1","do not proceed"
