control_id,control,expected,current,status,evidence
PMAI-P0-04-SPR-GOV-CHK-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,decision document
PMAI-P0-04-SPR-GOV-CHK-002,substage,STRUCTURAL_PREDICATE_REVIEW_GOVERNANCE_DECISION_V1,STRUCTURAL_PREDICATE_REVIEW_GOVERNANCE_DECISION_V1,PASS,decision document
PMAI-P0-04-SPR-GOV-CHK-003,evidence_commit,992976b033f115f6872e53f9144c56387c4c4ecf,992976b033f115f6872e53f9144c56387c4c4ecf,PASS,published baseline
PMAI-P0-04-SPR-GOV-CHK-004,evidence_parent,7e5e4008ed3613b566aebcf1fc0d12e527ac816c,7e5e4008ed3613b566aebcf1fc0d12e527ac816c,PASS,published baseline
PMAI-P0-04-SPR-GOV-CHK-005,github_ci_gate_number,196,196,PASS,published CI
PMAI-P0-04-SPR-GOV-CHK-006,github_ci_gate_status,PASS,PASS,PASS,published CI
PMAI-P0-04-SPR-GOV-CHK-007,repository_only,true,true,PASS,scope
PMAI-P0-04-SPR-GOV-CHK-008,route_b_retained,true,true,PASS,prior governance
PMAI-P0-04-SPR-GOV-CHK-009,active_0010_migration_file_count,0,0,PASS,repository guard
PMAI-P0-04-SPR-GOV-CHK-010,locked_runner_unchanged,true,true,PASS,hash guard
PMAI-P0-04-SPR-GOV-CHK-011,investigation_execution_performed,true,true,PASS,published evidence
PMAI-P0-04-SPR-GOV-CHK-012,investigation_exit_code,0,0,PASS,published evidence
PMAI-P0-04-SPR-GOV-CHK-013,archive_listing_attempts_consumed,1,1,PASS,published evidence
PMAI-P0-04-SPR-GOV-CHK-014,archive_listing_attempts_remaining,0,0,PASS,published evidence
PMAI-P0-04-SPR-GOV-CHK-015,approved_archive_sha256_match,true,true,PASS,published evidence
PMAI-P0-04-SPR-GOV-CHK-016,archive_member_count,29,29,PASS,published evidence
PMAI-P0-04-SPR-GOV-CHK-017,normalized_path_violation_count,29,29,PASS,published evidence
PMAI-P0-04-SPR-GOV-CHK-018,top_level_component_count,0,0,PASS,published evidence
PMAI-P0-04-SPR-GOV-CHK-019,toc_dat_candidate_count,0,0,PASS,published evidence
PMAI-P0-04-SPR-GOV-CHK-020,root_contract_resolved,false,false,PASS,published evidence
PMAI-P0-04-SPR-GOV-CHK-021,evidence_decision,HOLD_PMAI_P0_04_ARCHIVE_ROOT_CONTRACT_UNRESOLVED,HOLD_PMAI_P0_04_ARCHIVE_ROOT_CONTRACT_UNRESOLVED,PASS,published evidence
PMAI-P0-04-SPR-GOV-CHK-022,v1_static_source_review_performed,true,true,PASS,repository source review
PMAI-P0-04-SPR-GOV-CHK-023,v1_investigator_executed_during_review,false,false,PASS,scope guard
PMAI-P0-04-SPR-GOV-CHK-024,v1_predicate_coverage_gap_confirmed,true,true,PASS,static source review
PMAI-P0-04-SPR-GOV-CHK-025,v1_rejects_any_dot_component,true,true,PASS,static source review
PMAI-P0-04-SPR-GOV-CHK-026,v1_single_leading_dot_prefix_normalization_present,false,false,PASS,static source review
PMAI-P0-04-SPR-GOV-CHK-027,v1_unwrapped_root_classification_present,false,false,PASS,static source review
PMAI-P0-04-SPR-GOV-CHK-028,v1_requires_single_common_wrapper_root,true,true,PASS,static source review
PMAI-P0-04-SPR-GOV-CHK-029,v1_requires_toc_under_wrapper,true,true,PASS,static source review
PMAI-P0-04-SPR-GOV-CHK-030,v1_rejection_reason_counters_present,false,false,PASS,static source review
PMAI-P0-04-SPR-GOV-CHK-031,aggregate_result_causal_attribution_possible,false,false,PASS,inference boundary
PMAI-P0-04-SPR-GOV-CHK-032,leading_dot_prefix_hypothesis_status,PLAUSIBLE_BUT_UNVERIFIED,PLAUSIBLE_BUT_UNVERIFIED,PASS,inference boundary
PMAI-P0-04-SPR-GOV-CHK-033,unwrapped_root_hypothesis_status,PLAUSIBLE_BUT_UNVERIFIED,PLAUSIBLE_BUT_UNVERIFIED,PASS,inference boundary
PMAI-P0-04-SPR-GOV-CHK-034,observed_archive_leading_dot_prefix_confirmed,false,false,PASS,no raw names
PMAI-P0-04-SPR-GOV-CHK-035,toc_dat_absence_established,false,false,PASS,no raw names
PMAI-P0-04-SPR-GOV-CHK-036,backup_corruption_established,false,false,PASS,no corruption proof
PMAI-P0-04-SPR-GOV-CHK-037,backup_restoreability_established,false,false,PASS,no restore rehearsal
PMAI-P0-04-SPR-GOV-CHK-038,mismatch_cause_resolved,false,false,PASS,inference boundary
PMAI-P0-04-SPR-GOV-CHK-039,route_a_status,REJECTED_AT_THIS_GATE,REJECTED_AT_THIS_GATE,PASS,route decision
PMAI-P0-04-SPR-GOV-CHK-040,route_b_status,APPROVED_GOVERNANCE_ONLY,APPROVED_GOVERNANCE_ONLY,PASS,route decision
PMAI-P0-04-SPR-GOV-CHK-041,route_c_status,REJECTED,REJECTED,PASS,route decision
PMAI-P0-04-SPR-GOV-CHK-042,route_d_status,REJECTED,REJECTED,PASS,route decision
