check_id,control,expected,observed,status,gate,decision
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,entry,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-002,substage,FRESH_DISPOSABLE_TARGET_PROVISIONING_EXTERNAL_EXECUTION_AUTHORIZATION_V3,FRESH_DISPOSABLE_TARGET_PROVISIONING_EXTERNAL_EXECUTION_AUTHORIZATION_V3,PASS,entry,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-003,local_main,e3dce86cdc98546e61eb52b573aa8fee112a00b4,e3dce86cdc98546e61eb52b573aa8fee112a00b4,PASS,entry,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-004,origin_main,e3dce86cdc98546e61eb52b573aa8fee112a00b4,e3dce86cdc98546e61eb52b573aa8fee112a00b4,PASS,entry,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-005,main_parent,4d787ebd51f610d8f92e679ab5caa22191924ac4,4d787ebd51f610d8f92e679ab5caa22191924ac4,PASS,entry,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-006,github_ci_gate,210_PASS,210_PASS,PASS,entry,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-007,isolated_local,8d1dc8814ed8f80d8bc965b494c1c320fc08f228,8d1dc8814ed8f80d8bc965b494c1c320fc08f228,PASS,entry,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-008,isolated_remote,8d1dc8814ed8f80d8bc965b494c1c320fc08f228,8d1dc8814ed8f80d8bc965b494c1c320fc08f228,PASS,entry,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-009,repository_clean,true,true,PASS,entry,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-010,selected_route,ROUTE_C_REBUILD_DEPTH_AWARE_METADATA_INVESTIGATION_CHAIN_V3,ROUTE_C_REBUILD_DEPTH_AWARE_METADATA_INVESTIGATION_CHAIN_V3,PASS,prerequisite,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-011,prior_review_commit,e3dce86cdc98546e61eb52b573aa8fee112a00b4,e3dce86cdc98546e61eb52b573aa8fee112a00b4,PASS,prerequisite,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-012,prior_review_ci,210_PASS,210_PASS,PASS,prerequisite,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-013,target_contract_bound,true,true,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-014,target_contract_sha256,e57fbfce3e490cdf185f83e9e376b20fe0ef665fbe293a512a6298d8a6420744,e57fbfce3e490cdf185f83e9e376b20fe0ef665fbe293a512a6298d8a6420744,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-015,target_logical_name,pet-med-ai-db-p0-04-fresh-disposable-restore-v3-ohio,pet-med-ai-db-p0-04-fresh-disposable-restore-v3-ohio,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-016,target_provider,Render,Render,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-017,target_account_scope,PROJECT_OWNER_EXISTING_RENDER_ACCOUNT,PROJECT_OWNER_EXISTING_RENDER_ACCOUNT,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-018,target_region,Ohio_US_East,Ohio_US_East,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-019,target_engine,PostgreSQL,PostgreSQL,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-020,target_major,18,18,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-021,target_plan,Basic-256mb,Basic-256mb,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-022,target_storage_gb,1,1,PASS,contract,HOLD
