item,required,status,evidence
stage_marker,true,PASS,TREATMENT_FRAMEWORK_PERSISTENCE_RISK_REVIEW_V1
risk_review_only,true,PASS,no_business_logic_change=true
no_database_migration,true,PASS,no migration files are targets
persistence_enabled_false,true,PASS,persistence_enabled=false
no_case_treatment_write,true,PASS,no_case_treatment_write=true
no_case_treatment_persistence,true,PASS,no_case_treatment_persistence=true
no_prescription_write,true,PASS,no_prescription_write=true
no_dose_route_frequency,true,PASS,no_dose_route_frequency=true
not_client_facing,true,PASS,not_client_facing=true
append_only_audit_allowed_only,true,PASS,append_only_audit_allowed_only=true
signed_review_state_requires_future_design,true,PASS,signed_review_state_requires_future_design=true
requires_human_review,true,PASS,requires_human_review=true
clinician_signoff_required,true,PASS,clinician_signoff_required=true
dangerous_flags_stay_disabled,true,PASS,dangerous_feature_flags_disabled=true
previous_audit_log_coverage_preserved,true,PASS,treatment_framework_audit_log_smoke=PASS
next_decision,true,PASS,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_DESIGN_V1
