check_id,requirement,expected,status
1,stage_id,TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_DESIGN_V1,PASS_REQUIRED
2,design_only,true,PASS_REQUIRED
3,persistence_enabled,false,PASS_REQUIRED
4,review_state_persistence_enabled,false,PASS_REQUIRED
5,no_business_logic_change,true,PASS_REQUIRED
6,no_backend_endpoint_change,true,PASS_REQUIRED
7,no_frontend_ui_change,true,PASS_REQUIRED
8,no_migration,true,PASS_REQUIRED
9,writes_database,false,PASS_REQUIRED
10,no_case_treatment_write,true,PASS_REQUIRED
11,no_case_treatment_persistence,true,PASS_REQUIRED
12,no_prescription_write,true,PASS_REQUIRED
13,no_dose_route_frequency,true,PASS_REQUIRED
14,not_client_facing,true,PASS_REQUIRED
15,append_only_audit_allowed_only,true,PASS_REQUIRED
16,requires_human_review,true,PASS_REQUIRED
17,clinician_signoff_required,true,PASS_REQUIRED
18,allowed_future_states,unsigned_preview|signed_internal_review|revision_requested|rejected|superseded_by_new_review,PASS_REQUIRED
19,forbidden_future_states,final_treatment_plan|client_released|prescription_ready|dose_approved|route_frequency_approved|auto_persisted,PASS_REQUIRED
20,previous_decision,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_DESIGN_V1,PASS_REQUIRED
21,next_decision,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_DRY_RUN_V1,PASS_REQUIRED
