gate_id,gate,current_state,required_state,decision
ARRV4AR-G001,Exact repository base and tree,PASS,PASS,GO_REVIEW
ARRV4AR-G002,Exact nine-path scope,PASS,PASS,GO_REVIEW
ARRV4AR-G003,Source preparation PR and CI anchors,PASS,PASS,GO_REVIEW
ARRV4AR-G004,Preparation package immutable hashes,PASS,PASS,GO_REVIEW
ARRV4AR-G005,Historical V3 and V4 anchors byte exact,PASS,PASS,GO_REVIEW
ARRV4AR-G006,Target hashes treated as provenance only,PASS,PASS,GO_REVIEW
ARRV4AR-G007,Implementation candidate integrity,PASS,PASS,GO_REVIEW
ARRV4AR-G008,Collector and reviewer remain inert,PASS,PASS,GO_REVIEW
ARRV4AR-G009,Successor activation authorization,UNBOUND,SEPARATELY_AUTHORIZED,HOLD_EXPECTED
ARRV4AR-G010,Collection execution authorization,UNBOUND,SEPARATELY_AUTHORIZED,HOLD_EXPECTED
ARRV4AR-G011,Runtime identity and schema hashes,UNBOUND,SEPARATELY_REVIEWED,HOLD_EXPECTED
ARRV4AR-G012,Runtime evidence hashes,UNBOUND,SEPARATELY_COLLECTED_AND_REVIEWED,HOLD_EXPECTED
ARRV4AR-G013,Target live availability and lifecycle,NOT_REVALIDATED,REVALIDATED,HOLD_EXPECTED
ARRV4AR-G014,Target attachment connection and network state,NOT_REVALIDATED,REVALIDATED,HOLD_EXPECTED
ARRV4AR-G015,Runtime binding contract,INCOMPLETE,COMPLETE,HOLD_EXPECTED
ARRV4AR-G016,SRBE execution authorization eligibility,ELIGIBLE_AFTER_PUBLICATION,ELIGIBLE_AFTER_PUBLICATION,GO_REVIEW
ARRV4AR-G017,Runner creation or activation eligibility,NOT_ELIGIBLE,SRBE_COMPLETE_FIRST,HOLD_EXPECTED
ARRV4AR-G018,Planned active runner path,ABSENT,ABSENT,GO_REVIEW
ARRV4AR-G019,Active 0010 migration,ABSENT,ABSENT,GO_REVIEW
ARRV4AR-G020,Legacy CI validator cutover,NOT_AUTHORIZED,SEPARATELY_AUTHORIZED,HOLD_EXPECTED
ARRV4AR-G021,External and credential access,NOT_PERFORMED,NOT_PERFORMED,GO_REVIEW
ARRV4AR-G022,Database restore migration and deployment,NOT_PERFORMED,NOT_PERFORMED,GO_REVIEW
ARRV4AR-G023,Authorization review package validation,PASS,PASS,GO_REVIEW
ARRV4AR-G024,Post-publication CI,NOT_YET_OBSERVED,PASS,HOLD_UNTIL_PUBLICATION
ARRV4AR-G025,Authorization review decision,GO_TO_SEPARATE_SRBE_EXECUTION_AUTHORIZATION,GO_TO_SEPARATE_SRBE_EXECUTION_AUTHORIZATION,GO_REVIEW
ARRV4AR-G026,Global execution decision,HOLD,HOLD,HOLD_EXPECTED
