phase,item,owner,command_or_location,expected_result,hard_stop_if_failed,status,notes
pre_window,Final Go decision,release_owner,final Go No-Go record,decision GO,yes,,
pre_window,Online smoke before window,operator,BASE_URL=https://pet-med-ai-backend.onrender.com bash scripts/smoke_petmed.sh,ALL PASS,yes,,
pre_window,System version,operator,/api/system/version,schema_ok true and db=head,yes,,
pre_window,Feature flags before window,operator,/api/system/feature-flags,all dangerous disabled,yes,,
pre_window,Backup verified,rollback_owner,Render pet-med-ai-db,backup_id recorded,yes,,
pre_window,Rollback snapshot,rollback_owner,release/batch record,rollback_snapshot_id present,yes,,
pre_window,Batch evidence,operator,/emr/import-batches,batch approved and receipt_count 1,yes,,
pre_window,Dry-run evidence,operator,execution dry-run,quality_gate passed and would_create_count 1,yes,,
pre_window,Clinical reviewer ready,clinical_owner,operator signoff,reviewer online,yes,,
window,Enable real import flag,operator,Render backend env,ENABLE_EMR_REAL_IMPORT true,yes,,
window,Verify dangerous flags,operator,/api/system/feature-flags,only real_import enabled; all others false,yes,,
window,Run guarded execution,operator,scripts/emr_pilot0_execute_guarded.sh,created_count 1 updated_count 0,yes,,
close_window,Disable real import flag,operator,Render backend env,ENABLE_EMR_REAL_IMPORT false,yes,,
close_window,Verify feature flag closed,operator,/api/system/feature-flags,all dangerous disabled,yes,,
post_window,Online smoke after window,operator,BASE_URL online smoke,ALL PASS,yes,,
post_window,Clinical spot-check,clinical_owner,created Case detail,100 percent pass,yes,,
post_window,Record execution result,release_owner,result template,execution_id and created_case_id recorded,yes,,
post_window,Record closeout decision,release_owner,closeout template,GO PAUSE or ROLLBACK recorded,yes,,
