gate_id,area,item,required_state,current_state,go_no_go,owner,status,notes
FINAL-001,ci,GitHub Actions latest main run,green,green,GO,release_owner,complete,Checked before final decision
FINAL-002,ci,CI static checks,PASS,PASS,GO,release_owner,complete,bash scripts/ci_static_checks.sh
FINAL-003,backend,Render backend live,healthz OK,healthz OK,GO,release_owner,complete,pet-med-ai-backend
FINAL-004,frontend,Render frontend live,HTTP 200/304,HTTP 200/304,GO,frontend_owner,complete,pet-med-ai-frontend-static
FINAL-005,smoke,Online smoke,ALL PASS,ALL PASS,GO,release_owner,complete,scripts/smoke_petmed.sh
FINAL-006,database,schema_ok,true,true,GO,release_owner,complete,/api/system/version
FINAL-007,database,database_revision equals alembic_head,true,true,GO,release_owner,complete,0008_auto_delivery
FINAL-008,database,Expected database revision,0008_auto_delivery,0008_auto_delivery,GO,release_owner,complete,Commercial V1 expected revision
FINAL-009,feature_flags,Dangerous features disabled,true,true,GO,security_owner,complete,/api/system/feature-flags
FINAL-019,backup,Backup Restore Drill V2 real restore evidence,complete,complete,GO,release_owner,complete,Evidence recorded
FINAL-021,legal,Legal Consent Pack V1 real review + signoff,complete,complete,GO,legal_review_owner,complete,Evidence recorded
FINAL-025,decision,Final production launch decision,GO,GO_PRODUCTION_COMMERCIAL_LAUNCH,GO,release_owner,complete,All hard blockers closed
