gate_id,gate,required,current,status,on_failure
PMAI-P0-04-V2-POST-SPR-GOV-GNG-001,evidence commit,da837e6eb35819457b340d9fe9fd3a4336dc6673,da837e6eb35819457b340d9fe9fd3a4336dc6673,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-002,evidence GitHub CI gate,PASS,PASS,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-003,V1 attempt consumed,1,1,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-004,V2 attempt consumed,1,1,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-005,cumulative attempts consumed,2,2,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-006,attempts remaining,0,0,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-007,evidence root contract resolved,false,false,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-008,evidence disposition,HOLD_PMAI_P0_04_ARCHIVE_ROOT_CONTRACT_UNRESOLVED,HOLD_PMAI_P0_04_ARCHIVE_ROOT_CONTRACT_UNRESOLVED,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-009,V2 source hash locked,true,true,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-010,V2 source review static only,true,true,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-011,V2 normalization gap resolved,true,true,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-012,V2 structural observability gap confirmed,true,true,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-013,toc candidate presence established,true,true,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-014,toc at logical root established,false,false,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-015,deep wrapper layout proven,false,false,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-016,mixed top level layout proven,false,false,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-017,backup corruption proven,false,false,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-018,Route A invalidate or replace backup,REJECTED_AT_THIS_GATE,REJECTED_AT_THIS_GATE,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-019,Route B direct runner restore,REJECTED,REJECTED,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-020,Route C depth aware V3 chain,APPROVED_GOVERNANCE_ONLY,APPROVED_GOVERNANCE_ONLY,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-021,Route D reuse or rerun V2,REJECTED,REJECTED,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-022,new investigator creation authorization,false,false,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-023,archive access authorization,false,false,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-024,database or restore authorization,false,false,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-025,0010 or deployment authorization,false,false,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-026,stage commit push authorization,false,false,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-027,next governance subject,SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V3_PREPARATION_REQUIRED,SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V3_PREPARATION_REQUIRED,PASS,HOLD
PMAI-P0-04-V2-POST-SPR-GOV-GNG-028,decision disposition,GO_TO_SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V3_PREPARATION,GO_TO_SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V3_PREPARATION,PASS,HOLD
