activation_governance_signoff_id,species_group,review_domain,activation_governance_scope,activation_readiness_final_go_no_go_status,clinical_owner_signoff_status,second_reviewer_signoff_status,source_access_signoff_status,copyright_access_signoff_status,metadata_only_workspace_signoff_status,forbidden_value_scanner_signoff_status,value_capture_blocker_signoff_status,activation_signoff_status,activation_allowed_now,collection_execution_started,collection_execution_allowed_now,pilot_execution_allowed_now,go_no_go_status,human_review_required,clinician_signoff_required,next_required_stage
activation-governance-signoff:rabbit:analgesia_and_pain_control_source_review,rabbit,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:rabbit:antimicrobial_source_review,rabbit,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:rabbit:antiparasitic_source_review,rabbit,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:rabbit:fluid_and_supportive_care_source_review,rabbit,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:rabbit:sedation_anesthesia_risk_source_review,rabbit,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:rabbit:emergency_stabilization_source_review,rabbit,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:bird:analgesia_and_pain_control_source_review,bird,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:bird:antimicrobial_source_review,bird,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:bird:antiparasitic_source_review,bird,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:bird:fluid_and_supportive_care_source_review,bird,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
